Pos,Player,New Club,Fee/Notes,Date
MF,Júlio César,Toronto FC,Option declined,"November 19 , 2012"
DF,Cyprian Hedrick,Phoenix FC,Option declined,"November 19 , 2012"
DF,Neven Marković,Servette FC,Option declined,"November 19 , 2012"
DF / MF,Konrad Warzycha,Columbus Crew,Option declined,"November 19 , 2012"
DF,Korede Aiyegbusi,FC Haka,Option declined,"December 3 , 2012"
DF,Michael Harrington,Portland Timbers,Trade for Allocation money,"December 3 , 2012"
MF,Roger Espinoza,Wigan Athletic,Free,"January 4 , 2013"
FW,Bobby Convey,Toronto F.C,Trade for 2014 MLS SuperDraft Third Round Pick,"May 16 , 2013"
DF,Yann Songo ' o,Blackburn Rovers,Released,"June 28 , 2013"
MF,Michael Thomas,Toronto F.C,Trade for 2015 MLS SuperDraft Second Round Pick,"July 2 , 2013"
FW,Kei Kamara,Middlesbrough F.C,Transfer for $ 2.1 million,"September 2 , 2013"
