Medal,Name,Sport,Event
Gold,Stein Eriksen,Alpine skiing,Men 's giant slalom
Gold,Hallgeir Brenden,Cross-country skiing,Men 's 18 km
Gold,Simon Slåttvik,Nordic combined,Men 's individual
Gold,Arnfinn Bergmann,Ski jumping,Men 's normal hill
Gold,Hjalmar Andersen,Speed skating,Men 's 1500m
Gold,Hjalmar Andersen,Speed skating,Men 's 5000m
Gold,Hjalmar Andersen,Speed skating,"Men 's 10,000m"
Silver,Stein Eriksen,Alpine skiing,Men 's slalom
Silver,Magnar Estenstad Mikal Kirkholt Martin Stokken Hallgeir Brenden,Cross-country skiing,Men 's 4 × 10 km relay
Silver,Torbjørn Falkanger,Ski jumping,Men 's normal hill
Bronze,Guttorm Berge,Alpine skiing,Men 's slalom
Bronze,Magnar Estenstad,Cross-country skiing,Men 's 50 km
Bronze,Sverre Stenersen,Nordic combined,Men 's individual
Bronze,Arne Johansen,Speed skating,Men 's 500m
Bronze,Roald Aas,Speed skating,Men 's 1500m
Bronze,Sverre Haugli,Speed skating,Men 's 5000m
