Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Flora II,Jürgen Henn,Erkki Kubber,Nike,
Kiviõli Irbis,Erik Šteinberg,Tõnis Starkopf,Adidas,
Levadia II,Argo Arbeiter,Kristjan Tamme,Adidas,Viimsi Keevitus
Jõhvi Lokomotiv,Viktors Ņesterenko,Boriss Gritsjuk,Uhlsport,Spacecom
Puuma,Dmitri Krasilnikov,Aleksandr Boldõrev,Adidas,Kruze Disain
Tartu SK 10,Andrei Borissov,Aleksandr Pruttšenko,Adidas,Ha Serv
Tammeka II,Indrek Koser,Ander Paabut,Nike,Metec
Rakvere Tarvas,Reijo Kuusik,Alari Tovstik,Joma,Aqva
Viljandi Tulevik,Aivar Lillevere,Raiko Mutle,Hummel,kalameister.ee
Vändra Vaprus,Ranet Lepik,Karel Otto,Macron,4teams
