,Developer,First release,Latest release,License,Platform
Battle Chess,Interplay Silicon & Synapse ( C64 ),1988,1994,Commercial,"Microsoft Windows , Apple Inc. , Amiga , 3DO , Acorn Archimedes , Atari , Commodore 64 , MS-DOS , FM Towns , NES , PC-98 , Sharp X68000"
Battle Chess : Game of Kings,Interplay,2014-04,n/a,Commercial,Steam ( software )
Battle vs . Chess,Targem Games Zuxxez Entertainment,2011,n/a,Commercial ( Topware Interactive ),"Microsoft Windows , Mac OS X , Nintendo DS , PlayStation 3 , PlayStation Portable , Xbox 360 , Wii"
Chessaria : The Tactical Adventure,Pixel Wizards,2018,n/a,Commercial,"Steam ( software ) , Microsoft Windows , Mac OS X"
Chess Assistant,Victor Zakharov,1988,2018,Commercial ( Convekta ),Microsoft Windows
Chessbase,"Mathias Wüllenweber , Mathias Feist",1987,2018,Commercial ( Chessbase ),"Microsoft Windows , Android , Steam"
Chessmaster,"David Kittinger , Kathe and Dan Spracklen , Johan de Koning",1986,2007,Commercial ( Ubisoft ),"MS Windows , MS-DOS , PlayStation , Xbox 360 , ( XBLA ) , PSP , PS2"
Chess Titans,Oberon Games,2007,n/a,Included in Microsoft Windows Vista and 7,"Windows Vista , Windows 7"
ChessV,Gregory Strong,2009,n/a,GPL,Microsoft Windows
Fritz,"Frans Morsch , Mathias Feist , Gyula Horvath , Vasik Rajlich",1991,2018,Commercial ( Chessbase ),"Microsoft Windows , Steam , PlayStation 3 , Wii , Nintendo DS"
Fritz and Chesster,Chessbase,2005,2010,Commercial ( Chessbase ),"Microsoft Windows , Mac , Nintendo DS"
GNOME Chess,"Robert Ancell , GNOME Team",2000,2018,Free,Unix-like
GNU Chess,"Stuart Cracraft , John Stanback , Chua Kong-Sian , Fabien Letouzey",1984,2013,Free,"Microsoft Windows , Unix-like"
HIARCS,Mark Uniacke,1980,2012,"Commercial ( Chessbase , Hiarcs.com )","Microsoft Windows , iOS , Mac OS X , Windows Mobile , Freescale DragonBall , ARM -based Palm OS"
Houdini,Robert Houdart,2010,2018,"Commercial ( Chessbase , Convekta )",Microsoft Windows
Junior,"Amir Ban , Shay Bushinsky",1997,2014,"Commercial ( Chessbase , Hiarcs.com )",Microsoft Windows
Komodo,"Don Dailey , Larry Kaufman , Mark Lefler",2010,2018,"Commercial ( Chessbase , Komodochess.com )","Microsoft Windows , Linux , Macintosh Operating System , Android"
Playchess,Chessbase,2003,2018,Commercial ( Chessbase ),"Microsoft Windows , web"
Play Magnus,Tord Romstad,2014,2018,Free to try with in-app purchases,"Android , iOS"
Pure Chess,VooFoo Studios,2012,n/a,Commercial ( Ripstone ),"Microsoft Windows , Android , iOS , PlayStation 3 , PlayStation Vita"
