Category,2012 Recipient,Location
Best New Ride ( Amusement Park ),Wild Eagle,Dollywood
Best New Ride ( Waterpark ),Mammoth,Holiday World & Splashin ' Safari
Best Amusement Park,Cedar Point,"Sandusky , Ohio"
Best Waterpark,Schlitterbahn,"New Braunfels , Texas"
Best Children 's Park,Idlewild and Soak Zone,"Ligonier , Pennsylvania"
Best Marine Life Park,SeaWorld Orlando,"Orlando , Florida"
Best Seaside Park,Santa Cruz Beach Boardwalk,"Santa Cruz , California"
Best Indoor Waterpark,Schlitterbahn Galveston Island,"Galveston , Texas"
Friendliest Park,Dollywood,"Pigeon Forge , Tennessee"
Cleanest Park,Holiday World & Splashin ' Safari,"Santa Claus , Indiana"
Best Shows,Dollywood,"Pigeon Forge , Tennessee"
Best Food,Dollywood,"Pigeon Forge , Tennessee"
Best Water Ride ( Park ),Dudley Do-Right 's Ripsaw Falls,Islands of Adventure
Best Waterpark Ride,Wildebeest,Holiday World & Splashin ' Safari
Best Kids ' Area,Kings Island,"Mason , Ohio"
Best Dark Ride,Harry Potter and the Forbidden Journey,Islands of Adventure
Best Outdoor Show Production,Epcot,"Bay Lake , Florida"
Best Landscaping,Busch Gardens Williamsburg,"Williamsburg , Virginia"
Best Halloween Event,Universal Orlando Resort,"Orlando , Florida"
Best Christmas Event,Dollywood,"Pigeon Forge , Tennessee"
