Name,Team,Appointed,Time as manager
Ricardo Ferretti,UANL,20 May 2010,"9 years , 261 days"
Miguel Herrera,América,26 May 2017,"2 years , 255 days"
Gabriel Caballero,Juárez,4 June 2018,"1 year , 246 days"
Ignacio Ambríz,León,18 September 2018,"1 year , 140 days"
Víctor Manuel Vucetich,Querétaro,18 February 2019,352 days
Guillermo Almada,Santos Laguna,11 April 2019,300 days
Míchel González,UNAM,16 May 2019,265 days
Pablo Guede,Morelia,21 August 2019,168 days
Juan Reynoso,Puebla,23 August 2019,166 days
Robert Siboldi,Cruz Azul,6 September 2019,152 days
Luis Fernando Tena,Guadalajara,26 September 2019,132 days
Antonio Mohamed,Monterrey,9 October 2019,119 days
Paulo Pezzolano,Pachuca,25 November 2019,72 days
José Manuel de la Torre,Toluca,1 December 2019,66 days
Gustavo Quinteros,Tijuana,7 December 2019,60 days
Alfonso Sosa,Necaxa,13 December 2019,54 days
Guillermo Vázquez,Atlético San Luis,15 December 2019,52 days
Rafael Puente,Atlas,30 January 2020,6 days
