Pick,Selecting Team,Player,Position,Previous Team
1,Chicago Fire,Danny Pena,D,Los Angeles Galaxy
2,Miami Fusion,David Vaudreuil,D/M,D.C. United
3,Chicago Fire,Kevin Hartman,GK,Los Angeles Galaxy
4,Miami Fusion,John Maessner,M,D.C. United
5,Chicago Fire,Manny Lagos,M,MetroStars
6,Miami Fusion,Kris Kelderman,D/M,D.C. United
7,Chicago Fire,Jason Farrell,M,Columbus Crew
8,Miami Fusion,Joey Martinez,D,Dallas Burn
9,Chicago Fire,Jorge Salcedo,M,Columbus Crew
10,Miami Fusion,Jeff Cassar,GK,Dallas Burn
11,Chicago Fire,Zach Thornton,GK,MetroStars
12,Miami Fusion,Nelson Vargas,M,Tampa Bay Mutiny
13,Chicago Fire,Francis Okaroh,D,New England Revolution
14,Miami Fusion,Cle Kooiman,D,Tampa Bay Mutiny
15,Chicago Fire,Diego Gutierrez,M,Kansas City Wizards
16,Miami Fusion,Ramiro Corrales,D,San Jose Clash
17,Chicago Fire,Andrew Lewis,D,MetroStars
18,Miami Fusion,Matt Kmosko,D,Colorado Rapids
19,Chicago Fire,Brian Bates,D,Colorado Rapids
20,Miami Fusion,Scott Budnick,GK,Tampa Bay Mutiny
