Medal,Name,Sport,Event,Date
Gold,Ben Ferguson,Snowboarding,Boys ' halfpipe,January 15
Gold,Summer Britcher Tucker West Ty Andersen Pat Edmunds,Luge,Mixed team relay,January 17
Gold,Shoma Uno ( JPN ) Jordan Bauth ( USA ) Eugenia Tkachenka / Yuri Hulitski ( BLR ),Figure skating,Mixed NOC team,January 21
Silver,Arielle Gold,Snowboarding,Girls ' halfpipe,January 15
Silver,Ben Ferguson,Snowboarding,Boys ' slopestyle,January 19
Silver,Arielle Gold,Snowboarding,Girls ' slopestyle,January 19
Bronze,Aaron Blunck,Freestyle skiing,Boys ' halfpipe,January 15
Bronze,Ty Andersen Pat Edmunds,Luge,Boys ' doubles,January 16
Bronze,Anna Kubek Heather Mooney Sean Doherty Patrick Caldwell,Cross-country skiing Biathlon,Cross-country Biathlon mixed relay,January 21
Bronze,Korey Dropkin ( USA ) Marina Verenich ( RUS ),Curling,Mixed doubles,January 22
