District,Name,Party,District Office,First elected,Eligible for reelection
1,Sharon Hewitt,Rep,Slidell,2015,Yes
2,Ed Price,Dem,Gonzales,2017,Yes
3,Joseph Bouie Jr,Dem,New Orleans,2019,Yes
4,Jimmy Harris,Dem,New Orleans,2019,Yes
5,Karen Carter Peterson,Dem,New Orleans,2010,No
6,Bodi White,Rep,Baton Rouge,2011,No
7,Troy Carter,Dem,New Orleans,2015,Yes
8,Patrick Connick,Rep,Marrero,2019,Yes
9,Cameron Henry,Rep,Metairie,2019,Yes
10,Kirk Talbot,Rep,River Ridge,2019,Yes
11,Patrick McMath,Rep,Covington,2019,Yes
12,Beth Mizell,Rep,Franklinton,2015,Yes
13,J. Rogers Pope,Rep,Denham Springs,2019,Yes
14,Cleo Fields,Dem,Baton Rouge,2019,Yes
15,Regina Barrow,Dem,Baton Rouge,2015,Yes
16,Franklin Foil,Rep,Baton Rouge,2019,Yes
17,Rick Ward III,Rep,Port Allen,2011,No
18,Eddie J. Lambert,Rep,Prairieville,2015,Yes
19,Gary Smith Jr,Dem,Norco,2011,No
20,Mike Fesi,Rep,Houma,2019,Yes
