Locus,Gene,Description
22 q11.1-q11.2,IGL @,Asymmetric crying facies ( Cayler cardiofacial syndrome )
22 q11.21,TBX1,T-box 1
22 q11,RTN4R,Reticulon 4 receptor
22 q11.21-q11.23,COMT,catechol-O-methyltransferase gene
22 q12.1-q13.1,NEFH,"neurofilament , heavy polypeptide 200kDa"
22 q12.1,CHEK2,CHK2 checkpoint homolog ( S. pombe )
22 q12.2,NF2,neurofibromin 2
22 q13,SOX10,SRY ( sex determining region Y ) -box 10
22 q13.1,APOL1,Apolipoprotein L1
22 q13.2,EP300,E1A binding protein p300
22 q13.3,WNT7B,"Wingless-type MMTV integration site family , member 7B"
22 q13.3,SHANK3,SH3 and multiple ankyrin repeat domains 3
22 q13.3,SULT4A1,"sulfotransferase family 4A , member 1"
22 q13.3,PARVB,parvin beta ( cytoskeleton organization and cell adhesion )
