Year,Laureate ( s ),Institution,Nationality,Citation
2004,Julia Kristeva,Paris Diderot University,Bulgarian French,"for innovative explorations of questions on the intersection of language , culture and literature which inspired research across the humanities and the social sciences throughout the world and have also had a significant impact on feminist theory"
2005,Jürgen Habermas,University of Frankfurt,German,for developing path-breaking theories of discourse and communicative action and thereby providing new perspectives on law and democracy
2006,Shmuel Eisenstadt,Hebrew University of Jerusalem,Israeli,"for developing comparative knowledge of exceptional quality and originality concerning social change and modernization , and concerning relations between culture , belief systems and political institutions"
2007,Ronald Dworkin,New York University University College London,American,"for developing an original and highly influential legal theory grounding law in morality , characterized by a unique ability to tie together abstract philosophical ideas and arguments with concrete everyday concerns in law , morals , and politics"
2008,Fredric Jameson,Duke University,American,for outstanding contributions to the understanding of the relation between social formations and cultural forms in a project he himself describes as the 'poetics of social forms '
2009,Ian Hacking,University of Toronto,Canadian,for his combination of rigorous philosophical and historical analysis which has profoundly altered our understanding of the ways in which key concepts emerge through scientific practices and in specific social and institutional contexts
2010,Natalie Zemon Davis,University of Toronto Princeton University,Canadian American,"for connecting early modern Europe with new areas of comparative history , exploring cultural , geographical and religious interchange"
2011,Jürgen Kocka,Free University of Berlin,German,for effecting a paradigm shift in German historiography by opening it up to related social sciences and establishing the importance of cross-national comparative approaches
2012,Manuel Castells,University of Southern California,Spanish,for shaping our understanding of the political dynamics of urban and global economies in the network society
2013,Bruno Latour,Sciences Po,French,"for having undertaken an ambitious analysis and reinterpretation of modernity , and [ having ] challenged fundamental concepts such as the distinction between modern and pre-modern , nature and society , human and non-human"
2014,Michael Cook,Princeton University,British,"for having reshaped fields that span Ottoman studies , the genesis of early Islamic polity , the history of the Wahhabiyya movement , and Islamic law , ethics , and theology"
2015,Marina Warner,"Birkbeck , University of London",British,for her analysis of stories and myths and how they reflect their time and place . She is known for the emphasis of gender roles and feminism in her literary work
2016,Stephen Greenblatt,Harvard University,USA,for being one of the most important Shakespeare scholars of his generation
2017,Onora O'Neill,University of Cambridge,British,for her influential role in ethical and political philosophy
2018,Cass Sunstein,Harvard University,USA,"For having reshaped our understanding of the relationship between the modern regulatory state and constitutional law . He is widely regarded as the leading scholar of administrative law in the U.S. , and he is by far the most cited legal scholar in the United States and probably the world"
2019,Paul Gilroy,University College London,British,"for his contributions to critical race studies , post-colonialism and related fields"
