Church,Dates,"City , State"
Bethel Methodist Church,built NRHP-listed,"Charleston , South Carolina"
Old Bethel United Methodist Church,built NRHP-listed,"Charleston , South Carolina"
Bethel A.M.E. Church,built NRHP-listed,"Columbia , South Carolina"
Sidney Park Colored Methodist Episcopal Church,built NRHP-listed,"Columbia , South Carolina"
Washington Street United Methodist Church,built NRHP-listed,"Columbia , South Carolina"
Wesley Methodist Church,built NRHP-listed,"Columbia , South Carolina"
McBee Methodist Church,built NRHP-listed,"Conestee , South Carolina"
Conway Methodist Church,built NRHP-listed,"Conway , South Carolina"
Allen Temple A.M.E. Church,built NRHP-listed,"Greenville , South Carolina"
John Wesley Methodist Episcopal Church,1899 built 1978 NRHP-listed,"Greenville , South Carolina"
Providence Methodist Church,built NRHP-listed,"Holly Hill , South Carolina"
Shiloh Methodist Church,built NRHP-listed,"Inman , South Carolina"
St. Paul 's Methodist Church,built NRHP-listed,"Little Rock , South Carolina"
Bethel African Methodist Episcopal Church,built NRHP-listed,"McClellanville , South Carolina"
Monticello Methodist Church,built NRHP-listed,"Monticello , South Carolina"
Mizpah Methodist Church,built NRHP-listed,"Olar , South Carolina"
Trinity Methodist Episcopal Church,built NRHP-listed,"Orangeburg , South Carolina"
White House United Methodist Church,built NRHP-listed,"Orangeburg , South Carolina"
Appleby 's Methodist Church,built NRHP-listed,"St. George , South Carolina"
"Central Methodist Church ( Spartanburg , South Carolina )",built NRHP-listed,"Spartanburg , South Carolina"
