Name,Degree,Year,Known for
John Black Aird,LLD,November 1975,"Lieutenant Governor of Ontario , Canada"
Raffi Armenian,LLD,June 1991,"Conductor , pianist , composer , and teacher"
Lloyd Axworthy,LLD,June 2008,Minister of Foreign Affairs of Canada
Thomas Axworthy,LLD,June 2003,Principal Secretary of Canada
Maude Barlow,DLitt,June 2004,National chairperson of The Council of Canadians
James Bartleman,LLD,June 2007,Lieutenant-Governor of Ontario
Derek Burney,LLD,June 1998,Progressive Conservative Party of Canada political strategist
Micheline Charest,LLD,June 1997,Founder of Cookie Jar Group
David Barr Chilton,DLitt,June 2006,Author and self-publisher of The Wealthy Barber
Jean Chrétien,LLD,May 1981,Prime Minister of Canada
John E. Cleghorn,LLD,October 1991,Chief executive officer of Royal Bank of Canada
Terry Copp,LLD,June 2005,Professor at Wilfrid Laurier University
Thomas d'Aquino,LLD,June 2002,Chief executive officer of Canadian Council of Chief Executives
Maureen Kempston Darkes,LLD,June 1998,General Motors vice president
William Grenville Davis,LLD,October 1963,Progressive Conservative Premier of Ontario
Paul Desmarais,LLD,May 1979,Fifth richest person in Canada
John George Diefenbaker,LLD,November 1968,Prime Minister of Canada
Pat Doherty,DLitt,October 1993,Vice president of Sinn Féin
Howard Dyck,LLD,May 1996,Conductor and broadcaster
Deborah Ellis,DLitt,June 2005,Winner of the Governor General 's Award
