Year,Horse,Age,Trainer,Owner
2018,Sistercharlie,4,Chad Brown,Peter M. Brant
2017,Lady Eli,5,Chad Brown,Sheep Pond Partners
2016,Tepin,5,Mark Casse,Robert E Masterson
2015,Tepin,4,Mark Casse,Robert E Masterson
2014,Dayatthespa,5,Chad Brown,Jerry Frankel et al
2013,Dank,4,Michael Stoute,James Wigan
2012,Zagora,5,Chad Brown,Martin S. Schwartz
2011,Stacelita,5,Jean-Claude Rouget,Martin S. Schwartz
2010,Goldikova,5,Freddy Head,Wertheimer et Frère
2009,Goldikova,4,Freddy Head,Wertheimer et Frère
2008,Forever Together,4,Jonathan E. Sheppard,Augustin Stable
2007,Lahudood,4,Kiaran McLaughlin,Shadwell Racing
2006,Ouija Board,5,Ed Dunlop,Lord Derby
2005,Intercontinental,5,Robert J. Frankel,Khalid Abdullah
2004,Ouija Board,3,Ed Dunlop,Lord Derby
2003,Islington,4,Michael Stoute,Ballymacoll Stud
2002,Golden Apples,4,Ben Cecil,Gary A. Tanaka
2001,Banks Hill,3,André Fabre,Khalid Abdullah
2000,Perfect Sting,4,Joe Orseno,Stronach Stables
1999,Soaring Softly,4,James J. Toner,Joan & John Phillips
