Pos,No,Driver,Constructor,Lap,Gap
1,2,David Coulthard,McLaren - Mercedes,1:45.697,
2,3,Michael Schumacher,Ferrari,1:47.063,+1.366
3,11,Giancarlo Fisichella,Benetton - Playlife,1:47.130,+1.433
4,1,Mika Häkkinen,McLaren - Mercedes,1:47.162,+1.465
5,18,Pedro de la Rosa,Arrows - Supertec,1:47.786,+2.089
6,6,Jarno Trulli,Jordan - Mugen-Honda,1:47.833,+2.136
7,12,Alexander Wurz,Benetton - Playlife,1:48.037,+2.340
8,8,Johnny Herbert,Jaguar - Cosworth,1:48.078,+2.381
9,22,Jacques Villeneuve,BAR - Honda,1:48.121,+2.424
10,7,Eddie Irvine,Jaguar - Cosworth,1:48.305,+2.608
11,19,Jos Verstappen,Arrows - Supertec,1:48.321,+2.624
12,23,Ricardo Zonta,BAR - Honda,1:48.665,+2.968
13,15,Nick Heidfeld,Prost - Peugeot,1:48.690,+2.993
14,9,Ralf Schumacher,Williams - BMW,1:48.841,+3.144
15,17,Mika Salo,Sauber - Petronas,1:49.204,+3.507
16,10,Jenson Button,Williams - BMW,1:49.215,+3.518
17,5,Heinz-Harald Frentzen,Jordan - Mugen-Honda,1:49.280,+3.583
18,4,Rubens Barrichello,Ferrari,1:49.544,+3.847
19,16,Pedro Diniz,Sauber - Petronas,1:49.936,+4.239
20,14,Jean Alesi,Prost - Peugeot,1:50.289,+4.592
