Name of Town,State,Type,Population ( 2011 )
Dalli-Rajhara,Chhattisgarh,M,"44,363"
Medininagar ( Daltonganj ),Jharkhand,Nagar Parishad,"78,396"
Degana,Rajasthan,M,"34,315"
Devprayag,Uttarakhand,N.P,"2,152"
Dhamtari,Chhattisgarh,M,"82,111"
Dharchula,Uttarakhand,N.P,"7,039"
Dharmanagar,Tripura,M.Cl,"30,785"
Dhenkanal,Odisha,M,"67,414"
Dhone,Andhrapradesh,M,"59,272"
Dhoraji,Gujarat,M,"84,545"
Dhubri,Assam,M.B,"63,388"
Dhuri,Punjab,M.Cl,"55,225"
Didihat,Uttarakhand,N.P,"6,522"
Dineshpur,Uttarakhand,N.P,"11,343"
Diphu,Assam,T.C,"61,797"
Dogadda,Uttarakhand,N.P.P,"2,422"
Doiwala,Uttarakhand,N.P,"8,709"
Dumka,Jharkhand,N.A.C,"47,584"
Dumraon,Bihar,N.A.C,"53,618"
Dwarahat,Uttarakhand,N.P,"2,749"
