English Wikipedia entry name,Identifier,Native-language name,Location,Country
Bibliotheca Alexandrina,EGAXA,Arabic : مكتبة الإسكندرية,Alexandria,Egypt
Biblioteca Nacional de Chile,BNCHL,Spanish : Biblioteca Nacional de Chile,Santiago,Chile
Biblioteca Nacional de España,BNE,Spanish : Biblioteca Nacional de España,Madrid,Spain
Biblioteca Nacional de Portugal,PTBNP,Portuguese : Biblioteca Nacional de Portugal,Lisbon,Portugal
Bibliothèque et Archives nationales du Québec,B2Q,French : Bibliothèque et Archives nationales du Québec,Quebec,Canada
Bibliothèque nationale de France,BnF,French : Bibliothèque nationale de France,Paris,France
Bibliothèque Nationale du Royaume du Maroc ( BNRM ),MRBNR,Arabic : المكتبة الوطنية للمملكة المغربية French : Bibliothèque nationale du Royaume du Maroc,Rabat,Morocco
Biografisch Portaal,BPN,Dutch : Biografisch Portaal,The Hague,Netherlands
British Library,,-,London,England
Danish Agency for Culture and Palaces,,Danish : Kulturstyrelsen,Copenhagen,Denmark
Danish Bibliographic Centre,DBC,Danish : Dansk BiblioteksCenter,Ballerup,Denmark
German National Library ( DNB ),GND,German : Deutsche Nationalbibliothek,Frankfurt,Germany
International Standard Name Identifier,ISNI,-,London,United Kingdom
Israel Museum,,Hebrew : מוזיאון ישראל,Jerusalem,Israel
Istituto Centrale per il Catalogo Unico,ICCU SBN,Italian : Istituto Centrale per il Catalogo Unico,Rome,Italy
Lebanese National Library,LNL,Arabic : المكتبة الوطنية,Beirut,Lebanon
Library and Archives Canada,LAC,French : Bibliothèque et Archives Canada,"Ottawa , Ontario",Canada
Library of Congress NACO consortium ( Name Authority Cooperative Program ),LCCN,-,"Washington , D.C",United States
National and University Library in Zagreb,NSK,Croatian : Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,Croatia
National and University Library of Slovenia,,Slovene : Narodna in univerzitetna knjižnica,Ljubljana,Slovenia
