Year,Winner,Score,Opponent,Reggie Lewis Most Outstanding Player,Venue
1980,Holy Cross,81-75,Boston,"Ron Perry , Holy Cross","Hart Center ( Worcester , MA )"
1981,Northeastern,81-79,Holy Cross,"Perry Moss , Northeastern","Cabot Center ( Boston , MA )"
1982,Northeastern,82-59,Niagara,"Perry Moss , Northeastern","Matthews Arena ( Boston , MA )"
1983,Boston,63-62,Holy Cross,"Mike Alexander , Boston University","Case Gym ( Boston , MA )"
1984,Northeastern,85-75,Canisius,"Mark Halsel , Northeastern","Matthews Arena ( Boston , MA )"
1985,Northeastern,68-67,Boston,"Reggie Lewis , Northeastern","Matthews Arena ( Boston , MA )"
1986,Northeastern,63-54,Boston,"Wess Fuller , Northeastern","Matthews Arena ( Boston , MA )"
1987,Northeastern,71-68,Boston,"Reggie Lewis , Northeastern","Matthews Arena ( Boston , MA )"
1988,Boston,79-68,Niagara,"Jeff Timberlake , Boston University","Hartford Civic Center ( Hartford , CT )"
1989,Siena,68-67,Boston,"Marc Brown , Siena","Hartford Civic Center ( Hartford , CT )"
1990,Boston,75-57,Vermont,"Bill Brigham , Boston University","Hartford Civic Center ( Hartford , CT )"
1991,Northeastern,57-46,Maine,"Ron Lacey , Northeastern","Matthews Arena ( Boston , MA )"
1992,Delaware,92-68,Drexel,"Alex Coles , Delaware","Bob Carpenter Center ( Newark , DE )"
1993,Delaware,67-64,Drexel,"Kevin Blackhurst , Delaware","Daskalakis Athletic Center ( Philadelphia , PA )"
1994,Drexel,86-78,Maine,"Malik Rose , Drexel","Daskalakis Athletic Center ( Philadelphia , PA )"
1995,Drexel,72-52,Northeastern,"Malik Rose , Drexel","Daskalakis Athletic Center ( Philadelphia , PA )"
1996,Drexel,76-67,Boston,"Malik Rose , Drexel","Daskalakis Athletic Center ( Philadelphia , PA )"
1997,Boston,68-61,Drexel,"Tunji Awojobi , Boston University","Case Gym ( Boston , MA )"
1998,Delaware,66-58,Boston,"Darryl Presley , Delaware","Bob Carpenter Center ( Newark , DE )"
1999,Delaware,86-67,Drexel,"John Gordon , Delaware","Bob Carpenter Center ( Newark , DE )"
