No,Position,Player,Nation
0,Midfielder,Floyd Franks,United States
1,Goalkeeper,Akira Fitzgerald,United States
2,Defender,Greg Shields,Scotland
3,Defender,Kupono Low,United States
4,Midfielder,Tommy Drake,United States
5,Midfielder,Amir Lowery,United States
6,Defender,James Scott,Costa Rica
6,Midfielder,Konrad Warzycha,Poland
7,Midfielder,Austin da Luz,United States
8,Midfielder,Luke Sassano,United States
9,Forward,Jason Garey,United States
10,Midfielder,Mike Palacio,United States
11,Midfielder,Ty Shipalane,South Africa
12,Goalkeeper,Nicolas Platter,United States
13,Forward,Brian Ackley,United States
14,Midfielder,Nick Millington,Guyana
15,Defender,Austen King,United States
16,Defender,Jamie Finch,United States
17,Defender,Gale Agbossoumonde,Togo
18,Goalkeeper,Ray Burse,United States
