City,Winners,Runners-up,Winning clubs,Runners-up
Recco,8,7,Pro Recco ( 8 ),Pro Recco ( 7 )
Belgrade,8,3,"Partizan ( 7 ) , Crvena zvezda ( 1 )",Partizan ( 3 )
Budapest,7,9,"Orvosegyetem ( 2 ) , Vasas ( 2 ) , Újpest ( 1 ) , Honvéd ( 1 ) , FTC ( 1 )","Honvéd ( 3 ) , Orvosegyetem ( 2 ) , Újpest ( 2 ) , Vasas ( 1 ) , Budapesti VSC ( 1 )"
Zagreb,7,4,HAVK Mladost ( 7 ),HAVK Mladost ( 4 )
Berlin,4,4,Spandau 04 ( 4 ),Spandau 04 ( 4 )
Dubrovnik,4,4,Jug Dubrovnik ( 4 ),Jug Dubrovnik ( 4 )
Naples,4,1,"Posillipo ( 3 ) , Canottieri Napoli ( 1 )",Canottieri Napoli ( 1 )
Barcelona,3,3,"Barcelona ( 1 ) , Catalunya ( 1 ) , Atlètic-Barceloneta ( 1 )","Catalunya ( 2 ) , Montjuïc ( 1 )"
Split,3,0,"Jadran Split ( 2 ) , POŠK Split ( 1 )",-
Moscow,2,5,"MGU Moscow ( 1 ) , CSKA Moscow ( 1 )","Dynamo Moscow ( 3 ) , CSKA Moscow ( 2 )"
Piraeus,2,3,Olympiacos ( 2 ),Olympiacos ( 3 )
Pescara,1,1,Pescara ( 1 ),Pescara ( 1 )
Bečej,1,1,Bečej ( 1 ),Bečej ( 1 )
Kotor,1,1,Primorac Kotor ( 1 ),Primorac Kotor ( 1 )
Szolnok,1,0,Szolnok ( 1 ),-
Magdeburg,0,1,-,Magdeburg ( 1 )
Bucureşti,0,1,-,Dinamo Bucureşti ( 1 )
The Hague,0,1,-,Zian ( 1 )
Almaty,0,1,-,Dynamo Alma-Ata ( 1 )
Alphen aan den Rijn,0,1,-,Alphen ( 1 )
