BBC One Nation/Region,News programme,Freesat,Sky
London,BBC London News,950,954
South West ( Channel Islands ),BBC Spotlight/BBC Channel Islands News,951,968
East Midlands,BBC East Midlands Today,952,960
East ( Norwich ),BBC Look East,953,961
East ( Cambridge ),BBC Look East,954,962
North West,BBC North West Today/BBC North West Tonight,955,958
North East and Cumbria,BBC Look North ( Newcastle ),956,955
Northern Ireland,BBC Newsline,957,953
South ( Oxford ),BBC South Today / BBC South Today ( Oxford ),958,965
South East,BBC South East Today,959,963
Scotland,BBC Reporting Scotland,960,951
South ( Southampton ),BBC South Today,961,964
South West ( Plymouth ),BBC Spotlight,962,967
West Midlands,BBC Midlands Today,963,959
Wales,BBC Wales Today,964,952
West,BBC Points West,965,966
Yorkshire,BBC Look North ( Leeds ),966,956
Yorkshire and Lincolnshire,BBC Look North ( Hull ),967,957
England HD,N/A ( This is BBC One HD ),972,976
Scotland HD,BBC Reporting Scotland,973,977
