Club,League/Division,Lvl,State,City
Redlands United,National Premier Leagues Queensland,2,Queensland,Brisbane
Reservoir Yeti,Victorian State League Division 5,8,Victoria,Melbourne
Richmond,National Premier Leagues Victoria 2,3,Victoria,Melbourne
Ringwood City,Victorian State League Division 4,7,Victoria,Melbourne
Riverina Rhinos,National Premier Leagues Capital Football,2,Australian Capital Territory,Griffith
Riversdale,Victorian State League Division 3,6,Victoria,Melbourne
Riverside Olympic,Northern Championship,3,Tasmania,Launceston
RMIT FC,Victorian State League Division 4,7,Victoria,Melbourne
Rochedale Rovers,Football Queensland Premier League,3,Queensland,Brisbane
Rockdale City Suns,National Premier Leagues NSW,2,New South Wales,Sydney
Rockingham City,Football West State League Division 1,3,Western Australia,Rockingham
Rosebud Heart,Victorian State League Division 4,7,Victoria,Rye
Rowville Eagles,Victorian State League Division 5,8,Victoria,Melbourne
Rydalmere Lions,National Premier Leagues NSW 3,4,New South Wales,Sydney
