Season,Event type,Location,Format,Date,Rank
2006,Nationals,Atlanta,Special,"July 28-30 , 2006",3
2007,Nationals,Baltimore,Special,"July 26-29 , 2007",1
2007,Grand Prix,San Francisco,Block Constructed,"August 25-26 , 2007",1
2008,Grand Prix,Philadelphia,Extended,"March 15-16 , 2008",3
2008,Pro Tour,Berlin,Extended,"October 31-November 2 , 2008",1
2008,Grand Prix,Atlanta,Limited,"November 15-16 , 2008",1
2009,Grand Prix,Los Angeles,Extended,"January 17-18 , 2009",1
2009,Pro Tour,Kyoto,Standard and Booster Draft,"February 27-March 1 , 2009",2
2009,Grand Prix,Seattle/Tacoma,Standard,"May 30-31 , 2009",5
2010,Pro Tour,San Diego,Standard and Booster Draft,"February 19-21 , 2010",3
2010,Grand Prix,Sydney,Sealed and Booster Draft,"October 9-10 , 2010",2
2011,Pro Tour,Nagoya,Block Constructed and Booster Draft,"June 10-12 , 2011",7
2011,Grand Prix,"Kansas City , Missouri",Sealed and Booster Draft,"June 18-19 , 2011",1
2011,Nationals,Indianapolis,Standard and Booster Draft,"August 5-7 , 2011",5
2011,Worlds,San Francisco,Special,"November 17-20 , 2011",6
2012,Grand Prix,"Lincoln , Nebraska",Modern,"February 18-19 , 2012",3
2012-13,Grand Prix,Philadelphia,Sealed and Booster Draft,"October 27-28 , 2012",7
2012-13,Grand Prix,Indianapolis,Sealed and Booster Draft,"December 22-23 , 2012",3
2013-14,Grand Prix,Richmond,Modern,"March 8-9 , 2014",8
2014-15,Grand Prix,Portland,Team Limited,"August 9-10 , 2014",4
