Institution,Nickname,Status,Founded,Location
Bulacan State University,BulSU Gold Gears,State,1904,"Malolos , Bulacan"
President Ramon Magsaysay State University,PRMSU Blue Jaguars,State,1910,"Iba , Zambales"
Philippine State College of Aeronautics,PhilSCA Iron Eagles,State,1967,"Floridablanca , Pampanga"
Nueva Ecija University of Science and Technology,NEUST Phoenix,State,1929,"Cabanatuan City , Nueva Ecija"
Tarlac State University,TSU Firefox,State,1906,"Tarlac City , Tarlac"
Tarlac Agricultural University,TAU Jets,State,1945,"Camiling , Tarlac"
Pampanga State Agricultural University,PACers,State,1974,"Magalang , Pampanga"
Central Luzon State University,CLSU Green Cobras,State,1907,"Muñoz , Nueva Ecija"
Bataan Peninsula State University,BPSU Stallions,State,2007,"Balanga , Bataan"
Aurora State College of Technology,ASCoT Dolphins,State,1993,"Baler , Aurora"
Philippine Merchant Marine Academy,PMMA Marines,State,1820,"San Narciso , Zambales"
Don Honorio Ventura State University,DHVTSU Wildcats,State,1861,"Bacolor , Pampanga"
Bulacan Agricultural State College,BASC Reapers,State,1952,"San Ildefonso , Bulacan"
