Name,Country of birth,Rank,Branch,Place of action,Date of action
Edward G. Allen,Netherlands,Boatswain 's Mate First Class,Navy,China,"June 13 , 1900 - June 22 , 1900"
James Cooney,Ireland,Private,Marine Corps,"Tientsin , China","July 13 , 1900"
John O. Dahlgren,Sweden,Corporal,Marine Corps,"Beijing , China","June 20 , 1900 - July 16 , 1900"
Hans A. Hansen,Germany,Seaman,Navy,China,"June 13 , 1900 - June 22 , 1900"
Henry W. Heisch,Germany,Private,Marine Corps,"Tientsin , China","June 20 , 1900"
Martin Hunt,Ireland,Private,Marine Corps,"Beijing , China","June 20 , 1900 - July 16 , 1900"
Joseph Killackey,Ireland,Landman,Navy,China,"June 13 , 1900 - June 22 , 1900"
Carl E. Petersen,Germany,Chief Machinist,Navy,"Beijing , China","June 28 , 1900 - August 17 , 1900"
William Seach,"England , United Kingdom",Ordinary Seaman,Navy,China,"June 13 , 1900 - June 22 , 1900"
Peter Stewart,"Scotland , United Kingdom",Gunnery Sergeant,Marine Corps,China,"June 13 , 1900 - June 22 , 1900"
Karl Thomas *,Germany,Coxswain,Navy,China,"June 13 , 1900 - June 22 , 1900"
Martin T. Torgerson,Norway,Gunner 's Mate Third Class,Navy,China,"June 13 , 1900 - June 22 , 1900"
Robert H. Von Schlick,Germany,Private,Army,"Tientsin , China","July 13 , 1900"
Edward A. Walker,"Scotland , United Kingdom",Sergeant,Marine Corps,"Beijing , China","June 20 , 1900 - July 16 , 1900"
Axel Westermark,Finland,Seaman,Navy,"Beijing , China","June 28 , 1900 - August 17 , 1900"
