,Landmark name,Date designated,Location,County,Description
1,Akima Pinšiwa Awiiki ( Chief Jean-Baptiste de Richardville House ),"March 2 , 2012 ( # 97000595 )",Fort Wayne 41°01′53″N 85°09′52″W / 41.0314°N 85.1644°W / 41.0314 ; -85.1644 ( Akima Pinšiwa Awiiki ( Chief Jean-Baptiste de Richardville House ) ),Allen,"This house is a rare surviving example of a treaty house . Built as part of the terms of the 1826 Treaty of Mississinewas between the Miami and the United States , it is associated with Pinšiwa , the akima ( civil chief ) of the Miami"
2,Allen County Courthouse,"July 31 , 2003 ( # 76000031 )",Fort Wayne 41°04′47″N 85°08′22″W / 41.0797°N 85.1394°W / 41.0797 ; -85.1394 ( Allen County Courthouse ),Allen,"A Beaux-Arts -style building that was built in 1902 , the Allen County Courthouse is a unique combination of fine art , sculpture , and architecture"
3,Angel Mounds,"January 29 , 1964 ( # 66000124 )",Evansville 37°56′31″N 87°27′19″W / 37.9419°N 87.4553°W / 37.9419 ; -87.4553 ( Angel Mounds ),"Warrick , Vanderburgh","From AD 1000 to 1600 , a town on this site was home to people of the Middle Mississippian culture . They built many mounds at this 100-acre ( 0.40 km ) community"
4,Athenæum ( Das Deutsche Haus ),"October 31 , 2016 ( # 73000032 )",Indianapolis 39°46′24″N 86°09′01″W / 39.773333°N 86.150278°W / 39.773333 ; -86.150278 ( Athenæum ( Das Deutsche Haus ) ),Marion,"Home of the Normal College of the North American Gymnastic Union for 63 years and the nations oldest , continuously active school of physical education"
5,Auburn Cord Duesenberg Automobile Facility,"April 5 , 2005 ( # 78000029 )",Auburn 41°21′21″N 85°03′25″W / 41.3558°N 85.057°W / 41.3558 ; -85.057 ( Auburn Cord Duesenberg Automobile Facility ),DeKalb,"The three buildings of the Auburn , Cord , and Duesenberg automobile manufacturing facility represent different stages in automotive development and construction . It is one of the few remaining automobile companies that made hand-assembled rather than mass-produced automobiles . The site includes the Art Deco showroom and administration building , service and new parts department building , and the Cord L-29 building"
6,Joseph Bailly Homestead,"December 29 , 1962 ( # 66000005 )",Porter 41°37′23″N 87°05′39″W / 41.6231°N 87.0942°W / 41.6231 ; -87.0942 ( Joseph Bailly Homestead ),Porter,Joseph Bailly acquired the Homestead and surrounding lands in 1822 when the Calumet was opened to white settlement . He established a trading post that was a meeting place for both Indians and whites and a stopping place for travelers and missionaries . It is now at the Indiana Dunes National Lakeshore
7,Broad Ripple Park Carousel,"February 27 , 1987 ( # 87000839 )",Indianapolis 39°48′39″N 86°09′25″W / 39.8108°N 86.15708°W / 39.8108 ; -86.15708 ( Broad Ripple Park Carousel ),Marion,"Originally located at Broad Ripple Village , this carousel was brought to Indiana in 1917 and is one of three surviving Dentzel menagerie carousels . Its animals predate 1900 and it is now housed in The Children 's Museum of Indianapolis"
8,Duck Creek Aqueduct,"August 25 , 2014 ( # 14000922 )",Spanning Duck Creek at Whitewater Canal 39°26′46″N 85°07′48″W / 39.4462°N 85.13°W / 39.4462 ; -85.13 ( Duck Creek Aqueduct ),Franklin,"Built in 1846 , this is the only surviving covered bridge aqueduct in the United States"
9,Butler Fieldhouse,"February 27 , 1987 ( # 83003573 )",Indianapolis 39°50′36″N 86°10′02″W / 39.84342°N 86.1673°W / 39.84342 ; -86.1673 ( Butler Fieldhouse ),Marion,"Located at Butler University and now called Hinkle Fieldhouse , it is the sixth-oldest basketball arena still used and was once the largest in the United States . It hosted the Indiana high school basketball tournament until 1971"
10,Cannelton Cotton Mill,"July 17 , 1991 ( # 75000011 )",Cannelton 37°54′41″N 86°44′44″W / 37.91130555555556°N 86.74563888888889°W / 37.91130555555556 ; -86.74563888888889 ( Cannelton Cotton Mill ),Perry,"The Cannelton mill , overlooking the Ohio River , manufactured thread and cloth for over 100 years from 1851 to 1954 . Its innovative design used steam power and Southern cotton , and its utility and aesthetics attempted to make Southern Indiana an industrial center"
11,Levi Coffin House,"June 23 , 1965 ( # 66000009 )",Fountain City 39°57′23″N 84°55′03″W / 39.956250000000004°N 84.91736111111112°W / 39.956250000000004 ; -84.91736111111112 ( Levi Coffin House ),Wayne,"Levi Coffin lived in this house from 1827 to 1847 , where he helped as many as 2,000 slaves escape to freedom . The house was known as the Union Depot of the Underground Railroad , and it contained secret doors that could hide fugitives"
