Year,Winner,Party
1952,Rayasam Seshagiri Rao,Independent
1957,Pendekanti Venkatasubbaiah,Indian National Congress
1962,Pendekanti Venkatasubbaiah,Indian National Congress
1967,Pendekanti Venkatasubbaiah,Indian National Congress
1971,Pendekanti Venkatasubbaiah,Indian National Congress
1977,Neelam Sanjiva Reddy,Janata Party
1977,Pendekanti Venkatasubbaiah ( by-poll ),Indian National Congress
1980,Pendekanti Venkatasubbaiah,Indian National Congress
1984,Maddur Subba Reddy,Telugu Desam Party
1989,Bojja Venkata Reddy,Indian National Congress
1991,Gangula Prathapa Reddy,Indian National Congress
1991,P. V. Narasimha Rao ( by-poll ),Indian National Congress
1996,P. V. Narasimha Rao ( Retained Berhampur Seat ),Indian National Congress
1996,Bhuma Nagi Reddy ( by-poll ),Telugu Desam Party
1998,Bhuma Nagi Reddy,Telugu Desam Party
1999,Bhuma Nagi Reddy,Telugu Desam Party
2004,S. P. Y. Reddy,Indian National Congress
2009,S. P. Y. Reddy,Indian National Congress
2014,S. P. Y. Reddy,YSR Congress Party
2019,Pocha Brahmananda Reddy,YSR Congress Party
