Name,City,Industry
A.C. Moore,"Berlin , NJ",retail
AlliedBarton,"Conshohocken , PA",security
Alpha Card Services,"Huntingdon Valley , PA",financial
Alpha Video,"West Conshohocken , PA",entertainment
Airgas,"Radnor Township , PA",gases
American Competitiveness Institute,"Philadelphia , PA",scientific research
American Water,"Camden , NJ",utility
AmeriGas,"King of Prussia , PA",gas
AmerisourceBergen,"Chesterbrook , PA",pharmaceuticals
Ametek,"Paoli , PA",electronics
Amoroso 's Baking Company,"Philadelphia , PA",food
Aqua America,"Bryn Mawr , PA",utilities
Aramark,"Philadelphia , PA",hospitality
ASTM International,"West Conshohocken , PA",publishing
Axalta Coating Systems,"Philadelphia , PA",coatings
Ballard Spahr LLP,"Philadelphia , PA",law
Beneficial Bank,"Philadelphia , PA",financial
Blank Rome,"Philadelphia , PA",law
Brandywine Realty Trust,"Philadelphia , PA",real estate
Boscov 's,"Reading , PA",retail
