Name,M,G,Degree,Notes
Jonathan Borwein,1971,1974,"MSc ( 1972 ) , DPhil Mathematics ( 1974 )","Canadian Rhodes Scholar and mathematician ; a professor at the University of Newcastle , Australia , since 2009 ; formerly a professor at Dalhousie University and Simon Fraser University , Canada"
S. Barry Cooper,1963,1966,BA,Professor of Mathematical Logic at the University of Leeds
David E. Evans,1972 -,1975,"MSc ( 1973 ) , DPhil Mathematics",Professor of Mathematics at the University of Cardiff ; studied as an undergraduate at New College and moved to Jesus College in 1972
John Griffiths ( F ),1856,1862,"BA Mathematics ( 1st , 1860 ) , MA ( 1862 )","Fellow and Tutor in Mathematics , with a particular interest in analytical geometry"
Nigel Hitchin ( HF ),1965,1968,BA Mathematics,Mathematician working in the field of differential geometry and algebraic geometry ; Savilian Professor of Geometry at Oxford ( 1997-2016 )
Hugh Jones,1708,1716,BA 1712 MA 1716,"Professor of Mathematics at The College of William and Mary , Virginia ( 1717-1721 ) ; Lord Baltimore 's Mathematician"
Jim Mauldon,1938,1947,BA Mathematics ( 1st ),"Studies interrupted by military service during the Second World War , during which he won the Military Cross ; a Fellow of Corpus Christi College , Oxford before becoming a professor at Amherst College in the United States"
H. W. Lloyd Tanner,1868,1873,"BA Mathematics ( 1st , 1872 ) , BA Natural Science ( 1st , 1873 )",Professor of Mathematics and Astronomy at the University College of South Wales and Monmouthshire ( 1883-1909 )
Gareth Roberts,1982 ?,1985,BA Mathematics,Professor of Statistics at the University of Warwick since 2007 ; has a particular research interest in Markov chains
David Williams ( HF ),1956,1962,"BA Mathematics ( 1st ) , DPhil Mathematics",Fellow of the Royal Society and specialist in probability
Sir Edward Wright ( HF ),1926,1929,BA Mathematics ( 1st ),"Professor of Mathematics at Aberdeen University , having earlier been the first Junior Research Fellow at Christ Church"
