,Name on the Register,Date listed,Location,City or town,Description
1,Emile Amblard Guest House,"January 4 , 1980 ( # 80001982 )",32-36 N. Vine St. 44°51′04″N 93°47′22″W / 44.851119°N 93.789465°W / 44.851119 ; -93.789465 ( Emile Amblard Guest House ),Waconia,"Circa-1900 lodging house , the best preserved building associated with Waconia 's late-19th/early-20th-century resort industry and the only surviving building designed by primary Coney Island of the West promoter Emile Amblard"
2,Brinkhaus Saloon Livery Barn,"January 4 , 1980 ( # 80001962 )",112 W. 4th St. 44°47′15″N 93°36′07″W / 44.78739°N 93.601823°W / 44.78739 ; -93.601823 ( Brinkhaus Saloon Livery Barn ),Chaska,"A saloon 's livery stable built c. 1875 , a rare and well-preserved relic of Chaska 's early businesses . Now houses the Chaska Historical Society"
3,Carver Historic District,"January 4 , 1980 ( # 80001960 )","Roughly bounded by Lime , 1st , Walnut , and 6th Sts . 44°45′49″N 93°37′32″W / 44.763575°N 93.625638°W / 44.763575 ; -93.625638 ( Carver Historic District )",Carver,Well-preserved core of a Minnesota River town with about 100 contributing properties mostly built 1855-1880 ; Carver County 's greatest concentration of historically and architecturally significant buildings
4,Chaska Historical Marker,"July 6 , 2010 ( # 10000415 )",County Highway 61 near Edgehill Rd . 44°46′58″N 93°36′43″W / 44.782694°N 93.611889°W / 44.782694 ; -93.611889 ( Chaska Historical Marker ),Chaska,1938 example of the finely crafted early wayside rests developed by the Minnesota Department of Highways in National Park Service rustic style
5,Church of St. Hubertus-Catholic,"March 19 , 1982 ( # 82002937 )",Great Plains Boulevard and W. 78th St. 44°51′43″N 93°31′51″W / 44.86189°N 93.530753°W / 44.86189 ; -93.530753 ( Church of St. Hubertus-Catholic ),Chanhassen,1887 church from which a Franciscan brotherhood platted and grew the German Catholic settlement that became Chanhassen
6,Coney Island of the West,"August 11 , 1976 ( # 76001048 )",Lake Waconia off Minnesota Highway 5 44°51′40″N 93°47′01″W / 44.861111°N 93.783611°W / 44.861111 ; -93.783611 ( Coney Island of the West ),Waconia,"31-acre ( 13 ha ) island with the ruins of hotels , cottages , and parks ; one of Minnesota 's most popular early resort destinations from the 1880s to the 1920s"
7,Frederick E. DuToit House,"January 4 , 1980 ( # 80001965 )",121 Hickory St. 44°47′02″N 93°36′22″W / 44.783984°N 93.606195°W / 44.783984 ; -93.606195 ( Frederick E. DuToit House ),Chaska,"c. 1870 house of Frederick E. DuToit ( 1844-1922 ) , newspaper publisher , politician , and a second-generation member of an influential family credited with much of Chaska 's commercial growth"
8,Eder-Baer House,"January 4 , 1980 ( # 80001966 )",105 Elm St. 44°47′01″N 93°36′17″W / 44.783693°N 93.60472°W / 44.783693 ; -93.60472 ( Eder-Baer House ),Chaska,"Well-preserved Queen Anne house built c. 1900 , the most architecturally significant building in a city that did not usually represent specific architectural styles"
9,Frederick Greiner House,"January 4 , 1980 ( # 80001967 )",319 E. 3rd St. 44°47′14″N 93°35′49″W / 44.787289°N 93.596939°W / 44.787289 ; -93.596939 ( Frederick Greiner House ),Chaska,"Well-preserved house built c. 1870 by a hotel proprietor also long involved in local politics , one of Chaska 's earliest businessmen and public officials"
10,Wendelin Grimm Farmstead,"December 30 , 1974 ( # 74001008 )",Off County Highway 11 in Carver Park Reserve 44°53′05″N 93°43′01″W / 44.884791°N 93.716895°W / 44.884791 ; -93.716895 ( Wendelin Grimm Farmstead ),Victoria vicinity,"160-acre ( 65 ha ) farmstead with an 1876 house , where German immigrant Wendelin Grimm ( 1818-1890 ) developed the first alfalfa that could withstand North American winters . Now a Three Rivers Park District educational facility"
