#,Year,Presenters,Winners
1,1956,"Adriana Serra , Antonella Steni , Raffaele Pisu and Renato Turi","Mamma ( Nunzio Gallo ) e Buon anno , buona fortuna ( Gino Latilla"
2,1957,"Enzo Tortora , Silvio Noto , Antonella Steni and Renato Turi",Scapricciatiello ( Aurelio Fierro )
3,1958,"Renato Tagliani with Walter Chiari , Raimondo Vianello , Lauretta Masiero , Scilla Gabel and Corrado Pani",L'edera ( Nilla Pizzi )
4,1959,"Delia Scala , Paolo Panelli and Nino Manfredi",Piove ( Joe Sentieri )
5,1960,"Alberto Lionello , Lauretta Masiero , Aroldo Tieri and Lilli Lembo",Romantica ( Tony Dallara )
6,1961,"Sandra Mondaini , Enzo Garinei , Toni Ucci , Carletto Sposito and Annamaria Gambineri , with Paolo Poli , Alberto Bonucci and Tino Buazzelli",Bambina bambina ( Tony Dallara )
7,1962,"Dario Fo and Franca Rame , then Tino Buazzelli , Sandra Mondaini and Corrado","Quando , quando , quando ( Tony Renis )"
8,1963,Various ( one for each region of Italy ),* ( in this edition the Italian regions compete - Sicily wins )
9,1964,Nino Taranto and Nadia Gray,' O sole mio ( Claudio Villa )
10,1965,Corrado with Walter Chiari and Kessler Twins,Non son degno di te ( Gianni Morandi )
11,1966,Peppino De Filippo,Granada ( Claudio Villa )
12,1967,"Alberto Lupo , Franco Franchi and Ciccio Ingrassia",Dan dan dan ( Dalida )
13,1968,"Mina , Walter Chiari and Paolo Panelli",Scende la pioggia ( Gianni Morandi )
14,1969,"Johnny Dorelli , Raimondo Vianello and Kessler Twins , with Sandra Mondaini and Paolo Villaggio",Ma chi se ne importa ( Gianni Morandi )
15,1970,Corrado and Raffaella Carrà,Vent'anni ( Massimo Ranieri )
16,1971,"Corrado and Raffaella Carrà , with Alighiero Noschese",Chitarra suona più piano ( Nicola Di Bari )
17,1972,Pippo Baudo and Loretta Goggi,Erba di casa mia ( Massimo Ranieri )
18,1973,Pippo Baudo and Mita Medici,Alle porte del sole ( Gigliola Cinquetti )
19,1974,"Raffaella Carrà , Cochi e Renato and Mike Bongiorno",Un corpo e un'anima ( Wess & Dori Ghezzi )
