Season,Event type,Location,Format,Date,Rank
2003-04,Nationals,Osaka,Special,11-13 June 2004,2
2005,Grand Prix,Osaka,Team Limited,8-9 January 2005,4
2005,Pro Tour,Atlanta,Team Limited,11-13 March 2005,4
2005,Pro Tour,Philadelphia,Block Constructed,6-8 May 2005,2
2005,Grand Prix,"Niigata , Niigata",Block Constructed,23-24 July 2005,6
2005,Grand Prix,Salt Lake City,Block Constructed,27-28 August 2005,3
2005,Pro Tour,Los Angeles,Extended,28-30 October 2005,3
2005,Grand Prix,Beijing,Extended,26-27 November 2005,8
2006,Invitational,Los Angeles,Special,10-12 May 2006,3
2006,Grand Prix,Kuala Lumpur,Limited,3-4 June 2006,1
2006,Grand Prix,Toulouse,Limited,24-25 June 2006,1
2006,Grand Prix,St. Louis,Limited,22-23 July 2006,3
2006,Pro Tour,Kobe,Booster Draft,20-22 October 2006,5
2007,Pro Tour,Geneva,Booster Draft,9-11 February 2007,3
2007,Grand Prix,Dallas,Extended,24-25 February 2007,3
2007,Grand Prix,Stockholm,Limited,5-6 May 2007,3
2007,Grand Prix,Montreal,Block Constructed,23-24 June 2007,4
2007,Invitational,Essen,Special,18-21 October 2007,4
2007,Grand Prix,Kitakyuushuu,Limited,10-11 November 2007,7
2008,Grand Prix,"Shizuoka , Shizuoka",Standard,8-9 March 2008,3
