Name,Born,Died,Category,Subcategory,Year Designated
Kyokusui Yamazaki ( 山崎旭萃 ),1906,2006,Music,Biwa,1995
Judō Nōtomi ( 納富寿童 ),1895,1976,Music,Shakuhachi,1967
Hanzan Shimabara ( 島原帆山 ),1901,2001,Music,Shakuhachi,1977
Gorō Yamaguchi ( 山口五郎 ),1933,1999,Music,Shakuhachi,1992
Eishō Koshino ( 越野栄松 ),1887,1965,Music,Koto,1956
Kinichi Nakanoshima ( 中能島欣一 ),1904,1984,Music,Koto,1966
Kiyoko Miyagi ( 宮城喜代子 ),1905,1991,Music,Koto,1983
Fumiko Yonekawa ( 米川文子 ),1894,1995,Music,Koto,1966
Masaki Uehara ( 上原真佐喜 ),1903,1996,Music,Koto,1970
Toshiko Yonekawa ( 米川敏子 ),1913,2005,Music,Koto,1996
Hiroyuki Nakada ( 中田博之 ),1912,2000,Music,Koto,1990
Shūnshō Tomizaki ( 富崎春昇 ),1880,1958,Music,Jiuta,1955
Seikin Tomiyama ( 富山清翁 ),1913,2008,Music,Jiuta,1969
Hatsuko Kikuhara ( 菊原初子 ),1899,2001,Music,Jiuta,1979
Kunie Fujii ( 藤井久仁江 ),1930,2006,Music,Jiuta,2002
Jikyō Yoshizumi ( 吉住慈恭 ),1876,1972,Music,Nagauta ( Vocals ),1956
Ijyūrō Yoshimura VII ( 七代目芳村伊十郎 ),1901,1973,Music,Nagauta ( Vocals ),1956
Rokuzaemon Kineya XIV ( 十四代目杵屋六左衛門 ),1900,1981,Music,Nagauta ( Vocals ),1974
Kosahara Hiyoshi ( 日吉小三八 ),1907,1995,Music,Nagauta ( Vocals ),1974
Satoyo Kineya ( 杵屋佐登代 ),1911,1997,Music,Nagauta ( Vocals ),1987
