Year,Player,School,Position
2019,Trey Lance,North Dakota State,QB
2018,Devlin Hodges,Samford,QB
2017,Jeremiah Briscoe ( 2 ),Sam Houston State,QB
2016,Jeremiah Briscoe,Sam Houston State,QB
2015,Cooper Kupp,Eastern Washington,WR
2014,John Robertson,Villanova,QB
2013,Jimmy Garoppolo,Eastern Illinois,QB
2012,Taylor Heinicke,Old Dominion,QB
2011,Bo Levi Mitchell,Eastern Washington,QB
2010,Jeremy Moses,Stephen F. Austin,QB
2009,Armanti Edwards ( 2 ),Appalachian State,QB
2008,Armanti Edwards,Appalachian State,QB
2007,Jayson Foster,Georgia Southern,QB
2006,Ricky Santos,New Hampshire,QB
2005,Erik Meyer,Eastern Washington,QB
2004,Lang Campbell,William & Mary,QB
2003,Jamaal Branch,Colgate,RB
2002,Tony Romo,Eastern Illinois,QB
2001,Brian Westbrook,Villanova,RB
2000,Louis Ivory,Furman,RB
