Year,Title,Theater,Director,Location
2017,"Ben , Virginia & Me - The Liberace Musical",NYMF,Paul Stancato,"Off Broadway , New York City"
2012,The Music Man,Arena Stage,Molly Smith,"Washington , DC"
2010,Annie,Olney Theatre Center for the Arts,Mark Waldrop,"Olney , MD"
2002,Annie Warbucks,Montclair Operetta Conservatory,John de la Rosa,"Montclair , NJ"
2001,Annie,Montclair Operetta Conservatory,John de la Rosa,"Montclair , NJ"
1999,Anything Goes,Downtown Cabaret Theater,Richard Sabellico,"Bridgeport , CT"
1996,Applause,Paper Mill Playhouse & Pre-Broadway Tour,Gene Saks,"Millburn , NJ"
1995,On the Town - Concert Version,Westfield Symphony Orchestra,Brad Keimach,"Westfield , NJ"
1995,Lust,John Houseman Theater,Rob Carlton,"Off Broadway , New York City"
1995,Lust - The American Premiere,Walnut Street Theater,Rob Carlton,"Philadelphia , PA"
1994,Me and My Girl,Walnut Street Theater,Charles Chuck Abbott,"Philadelphia , PA"
1993,The Song of Singapore,Downtown Cabaret Theater,Michael Garin,"Bridgeport , CT"
1993,Prime Time Prophet,Players Theatre,Kevin Connors,Off-Broadway New York City
1992,Into The Woods,Walnut Street Theater,Charles Chuck Abbott,"Philadelphia , PA"
1989,Me and My Girl,Marquis Theater,Mike Ockrent,Broadway New York City
1988,Starmites,Criterion Center,Stuart Ross,Broadway New York City
1987-1988,Cabaret - In French,Théâtre Mogador,Jérôme Savary,"Paris , France"
1987,Broadway,Royale Theatre,George Abbott,Broadway New York City
1987,Broadway,Great Lakes Shakespeare Festival,George Abbott,"Cleveland , Ohio"
1987,The Boys From Syracuse,Great Lakes Shakespeare Festival,Gerald Freedman,"Cleveland , Ohio"
