Season,Event type,Location,Format,Date,Rank
1998-99,Grand Prix,Kansas City,Extended,27-28 March 1999,3
1999-00,Pro Tour,Chicago,Extended,3-5 December 1999,1
1999-00,Grand Prix,Seattle,Extended,15-16 January 2000,1
1999-00,Grand Prix,Nagoya,Team Limited,22-23 April 2000,3
1999-00,Worlds,Brussels,Special,2-6 August 2000,2
2000-01,Masters,New York City,Extended,29 September-1 October 2000,5
2000-01,Masters,Chicago,Limited,1-3 December 2000,5
2000-01,Grand Prix,Detroit,Limited,31 March-1 April 2001,3
2001-02,Grand Prix,Montreal,Limited,13-14 October 2001,6
2001-02,Masters,New Orleans,Limited,1-4 November 2001,3
2001-02,Grand Prix,Houston,Extended,5-6 January 2002,5
2002-03,Pro Tour,Boston,Team Limited,27-29 September 2002,3
2002-03,Grand Prix,Copenhagen,Limited,12-13 October 2002,1
2002-03,Pro Tour,Houston,Extended,8-10 November 2002,7
2002-03,Grand Prix,Los Angeles,Limited,23-24 November 2002,2
2002-03,Masters,Venice,Team Limited,21-23 March 2003,3
2002-03,Masters,Yokohama,Extended,9-11 May 2003,1
2002-03,Grand Prix,Detroit,Block Constructed,12-13 July 2003,1
2003-04,Invitational,Los Angeles,Special,11-13 May 2004,1
2005,Invitational,Los Angeles,Special,17-20 May 2005,8
