Year,Title,Role,Notes
1997,Rent,Mark Cohen,National Tour
1998,Romeo and Juliet,Romeo Montague,Old Globe Theatre
2001,Sweeney Todd,Tobias Ragg,San Francisco Symphony Orchestra concert version
2002,Proof,Hal,Manhattan Theatre Club
2003,Cabaret,Emcee,Stephen Sondheim Theatre
2004,The Paris Letter,Young Anton / Burt Sarris,Roundabout Theatre
2004,Assassins,Lee Harvey Oswald / The Balladeer,Roundabout Theatre
2005,"Tick , Tick ... BOOM !",Jon,Menier Chocolate Factory
2006,All My Sons,Chris Keller,Geffen Playhouse
2006,Amadeus,Wolfgang Amadeus Mozart,Hollywood Bowl
2010,Rent,N/A,Directed Hollywood Bowl
2011,Company,Robert,New York Philharmonic Concert Version
2011,A Snow White Christmas,The Magic Mirror,El Portal Theater
2014,Nothing to Hide,N/A,Director Romulus Linney Courtyard Theatre
2014,Hedwig and the Angry Inch,Hedwig,Belasco Theatre
