,Name on the Register,Date listed,Location,City or town
1,Albania Plantation House,"January 26 , 2001 ( # 01000007 )","1842 Louisiana Highway 182 , E. 29°54′12″N 91°38′58″W / 29.903333°N 91.649444°W / 29.903333 ; -91.649444 ( Albania Plantation House )",Jeanerette
2,Alice C Plantation House,"October 24 , 2000 ( # 00001229 )",10736 Louisiana Highway 182 29°46′10″N 91°28′38″W / 29.769444°N 91.477222°W / 29.769444 ; -91.477222 ( Alice C Plantation House ),Franklin
3,Arlington Plantation House,"October 5 , 1982 ( # 82000457 )",56 E. Main St. 29°46′43″N 91°29′35″W / 29.778611°N 91.493056°W / 29.778611 ; -91.493056 ( Arlington Plantation House ),Franklin
4,Atkinson Memorial Presbyterian Church,"March 19 , 1991 ( # 91000248 )",214 4th St. 29°41′34″N 91°12′04″W / 29.692778°N 91.201111°W / 29.692778 ; -91.201111 ( Atkinson Memorial Presbyterian Church ),Morgan City
5,Birg House,"June 24 , 1982 ( # 82004837 )",Off Louisiana Highway 182 29°49′32″N 91°30′58″W / 29.825556°N 91.516111°W / 29.825556 ; -91.516111 ( Birg House ),Baldwin
6,Bittersweet,"October 28 , 1980 ( # 80004324 )",301 Main St. 29°47′18″N 91°29′21″W / 29.788333°N 91.489167°W / 29.788333 ; -91.489167 ( Bittersweet ),Franklin
7,Boy Scout Troop # 1 Log Cabin,"September 7 , 2001 ( # 01000944 )",601 Adams 29°47′42″N 91°30′22″W / 29.795°N 91.506111°W / 29.795 ; -91.506111 ( Boy Scout Troop # 1 Log Cabin ),Franklin
8,Brubaker House,"September 29 , 1995 ( # 95001133 )",1102 2nd St. 29°42′07″N 91°12′42″W / 29.701944°N 91.211667°W / 29.701944 ; -91.211667 ( Brubaker House ),Morgan City
9,Calumet Plantation House,"October 18 , 1984 ( # 84002859 )",West of Patterson on Louisiana Highway 182 29°42′42″N 91°20′40″W / 29.711667°N 91.344444°W / 29.711667 ; -91.344444 ( Calumet Plantation House ),Patterson
10,Joshua B. Cary House,"August 11 , 1982 ( # 82004677 )",U.S. Route 90 and Louisiana Highway 317 29°45′32″N 91°25′41″W / 29.758889°N 91.428056°W / 29.758889 ; -91.428056 ( Joshua B. Cary House ),Centerville
11,Darby House,"August 11 , 1982 ( # 82004678 )",102 Main St. 29°50′14″N 91°32′38″W / 29.837222°N 91.543889°W / 29.837222 ; -91.543889 ( Darby House ),Baldwin
12,Dixie Plantation House,"May 29 , 1987 ( # 87000851 )","Louisiana Highway 182 , 1 mile southeast of Franklin 29°46′30″N 91°29′19″W / 29.775°N 91.488611°W / 29.775 ; -91.488611 ( Dixie Plantation House )",Franklin
13,Franklin Foundation Hospital,"October 10 , 2017 ( # 100001713 )",1501 Hospital Ave. 29°48′14″N 91°29′56″W / 29.803965°N 91.498848°W / 29.803965 ; -91.498848 ( Franklin Foundation Hospital ),Franklin
14,Franklin Historic District,"December 29 , 1982 ( # 82000458 )",U.S. Route 90 ; also 600-608 Palfrey St. 29°47′32″N 91°30′10″W / 29.792222°N 91.502778°W / 29.792222 ; -91.502778 ( Franklin Historic District ),Franklin
15,Grevemberg House,"June 6 , 1980 ( # 80004325 )",Sterling Rd . 29°48′09″N 91°29′48″W / 29.8025°N 91.496667°W / 29.8025 ; -91.496667 ( Grevemberg House ),Franklin
16,Hanson Lumber Company Office,"October 7 , 1993 ( # 93001034 )",10400 Louisiana Highway 182 29°45′56″N 91°27′59″W / 29.765556°N 91.466389°W / 29.765556 ; -91.466389 ( Hanson Lumber Company Office ),Garden City
17,Hanson Lumber Company Owner 's House,"October 7 , 1993 ( # 93001035 )",10407 Louisiana Highway 182 29°45′54″N 91°28′00″W / 29.765°N 91.466667°W / 29.765 ; -91.466667 ( Hanson Lumber Company Owner 's House ),Garden City
18,Heaton House,"October 30 , 1980 ( # 80004328 )",North of Baldwin on Charenton Rd . 29°52′13″N 91°31′26″W / 29.870278°N 91.523889°W / 29.870278 ; -91.523889 ( Heaton House ),Baldwin
19,Idlewild,"November 2 , 1982 ( # 82000459 )",South of Patterson on Louisiana Highway 182 29°40′45″N 91°17′34″W / 29.679167°N 91.292778°W / 29.679167 ; -91.292778 ( Idlewild ),Patterson
20,Hilaire Lancon House,"November 9 , 2001 ( # 01001210 )",3934 Irish Bend Rd . 29°50′45″N 91°29′16″W / 29.845833°N 91.487778°W / 29.845833 ; -91.487778 ( Hilaire Lancon House ),Franklin
