Site,Municipality,Type,Ref
* Dorohatchō 瀞八丁 Dorohatchō,Shingū,5,[ 1 ]
Engetsu Island and Senjōjiki 円月島（高嶋）及び 千畳敷 Engetsu-tō ( Takashima ) oyobi Senjōjiki,Shirahama,8,[ 2 ]
Hashigui-iwa 橋杭岩 Hashigui-iwa,Kushimoto,5,[ 3 ]
Onzansō-en 琴ノ浦温山荘庭園 Koto-no-ura Onzansō-en,Kainan,1,[ 4 ]
Negoro-ji Gardens 根来寺庭園 Negoroji teien,Iwade,1,[ 5 ]
Tentoku-in Gardens 天徳院 庭園 Tentoku-in teien,Kōya,1,[ 6 ]
Nachi Falls 那智大滝 Nachi-ōtaki,Nachikatsuura,6,[ 7 ]
Kokawa-dera Gardens 粉河寺 庭園 Kokawadera teien,Kinokawa,1,[ 8 ]
Yōsui-en 養翠園 Yōsui-en,Wakayama,1,[ 9 ]
Wakanoura 和歌の浦 Wakanoura,Wakayama,"2 , 8 , 11",[ 10 ]
Wakayama Castle Nishonomaru Gardens 和歌山城西之丸庭園 （紅葉溪庭園） Wakayama-jō nishinomaru teien ( Kōyōkei teien ),Wakayama,1,[ 11 ]
