Name,Type,Class,Dates
HMAS Balikpapan,Landing craft,Balikpapan,1974-2012
HMAS Ballarat,Corvette,Bathurst,1941-1947
MSA Bandicoot,Minesweeper,Bandicoot,1991-2010s
HMAS Bandolier,Patrol boat,Attack,1968-1973
HMAS Banks,General purpose vessel,Explorer,1960-1995
HMAS Baralaba,Stores carrier,Auxiliary vessel,1942-1943
HMAS Barbette,Patrol boat,Attack,1968-1985
HMAS Barcoo,Frigate,River,1944-1963
Barcoo,Coal hulk,Auxiliary vessel,1914-1924
HMAS Barricade,Patrol boat,Attack,1968-1982
HMAS Barwon,Frigate,River,1945-1962
HMAS Bass,General purpose vessel,Explorer,1960-1994
HMAS Bataan,Destroyer,Tribal,1945-1958
HMAS Bathurst,Corvette,Bathurst,1940-1948
HMAS Bayonet,Patrol boat,Attack,1969-1988
HMAS Benalla,Corvette,Bathurst,1943-1958
HMAS Bendigo,Corvette,Bathurst,1941-1947
HMAS Bendigo,Patrol boat,Fremantle,1983-2006
HMAS Bermagui,Auxiliary minesweeper,,1939-1946
MSA Bermagui,Auxiliary minesweeper,,1994-2000
