Time,Swimmer,Date,Place
2:22.92,Susanne Bornike,"February 12 , 1989","Bonn , Germany"
2:22.89,Dai Guohong,"December 3 , 1993","Palma de Mallorca , Spain"
2:21.99,Dai Guohong,"December 3 , 1993","Palma de Mallorca , Spain"
2:20.85,Samantha Riley,"December 1 , 1995","Rio de Janeiro , Brazil"
2:20.22,Masami Tanaka,"April 2 , 1999",Hong Kong
2:19.25,Qi Hui,"January 28 , 2001","Paris , France"
2:18.86,Qi Hui,"December 2 , 2002","Shanghai , China"
2:17.75,Leisel Jones,"November 29 , 2003","Melbourne , Australia"
2:17.50,Annamay Pierse,"March 14 , 2009","Toronto , Canada"
2:16.83,Annamay Pierse,"August 7 , 2009","Leeds , United Kingdom"
2:15.42,Leisel Jones,"November 15 , 2009","Berlin , Germany"
2:14.57,Rebecca Soni,"December 18 , 2009","Manchester , United Kingdom"
2:14.39,Yuliya Efimova,"December 14 , 2013","Herning , Denmark"
