Year,Broadcast Station,Investigators,Actors,City,Number of Episodes
1970-1982,NDR,Paul Trimmel,Walter Richter,Hamburg,11
1970-1973,SR,Liersdahl and Schäfermann,Dieter Eppler,Saarbrücken,2
1971-1973,WDR,Kressin,Sieghardt Rupp,Cologne,7
1971-1986,SDR,Eugen Lutz,Werner Schumacher,8 different towns in Baden-Württemberg,16
1971-1979,HR,Konrad,Klaus Höhne,Frankfurt am Main,8
1971-1978,NDR,Finke,Klaus Schwarzkopf,Kiel and other places in Schleswig-Holstein,7
1971-1983,ORF,Viktor Marek,Fritz Eckhardt,Vienna,13
1971-1972,SFB,Erwin Kasulke,Paul Esser,West Berlin,2
1972-1981,BR,Melchior Veigl,Gustl Bayrhammer,Munich,15
1972,SWF,Horst Pflüger,Ernst Jacobi,Baden-Baden,1
1973,RB,Walter Böck,Hans Häckermann,Bremen,1
1973-1977,SWF,Franz Gerber,Heinz Schimmelpfennig,Baden-Baden,5
1974-1980,WDR,Heinz Haferkamp,Hansjörg Felmy,Essen,20
1974-1977,NDR,Heinz Brammer,Knut Hinz,Hanover,4
1975-1977,SFB,Martin Schmidt,Martin Hirthe,West Berlin,3
1977-1984,SR,Schäfermann,Manfred Heidmann,Saarbrücken,4
1978-1980,SWF,Marianne Buchmüller,Nicole Heesters,Mainz,3
1978-1983,HR,Bergmann,"Heinz Treuke ( 1978 ) , Lutz Moik ( 1981-1983 )",Frankfurt am Main,3
1978-1979,SFB,Matthias Behnke,Hans-Peter Korff,West Berlin,2
1979,NDR,Nagel,Diether Krebs,Braunschweig,1
