Season,Coach,School,Year with school,Record
1991 *,Dennis Erickson,Miami,3rd,12-0
1992,Dennis Erickson ( 2 ),Miami,4th,11-1
1993 *,Don Nehlen,West Virginia,14th,11-1
1994,Dennis Erickson ( 3 ),Miami,6th,10-2
1995 *,Frank Beamer,Virginia Tech,9th,10-2
1996,Frank Beamer ( 2 ),Virginia Tech,10th,10-2
1997,Walt Harris,Pittsburgh,1st,6-6
1998,Terry Shea,Rutgers,3rd,5-6
1999,Frank Beamer ( 3 ),Virginia Tech,13th,11-1
2000,Butch Davis,Miami,6th,11-1
2001,Larry Coker,Miami,1st,12-0
2002,Larry Coker ( 2 ),Miami,2nd,12-1
2003 *,Rich Rodriguez,West Virginia,3rd,8-5
2004,Walt Harris ( 2 ),Pittsburgh,8th,8-4
2005,Rich Rodriguez ( 2 ),West Virginia,5th,11-1
2006,Greg Schiano,Rutgers,6th,11-2
2007,Brian Kelly,Cincinnati,1st,10-3
2008,Brian Kelly ( 2 ),Cincinnati,2nd,11-3
2009,Brian Kelly ( 3 ),Cincinnati,3rd,12-0
2010,Randy Edsall,Connecticut,12th,8-4
