Name,Region,Type,Description
Alfajores,Andalusia,dessert,a Christmas pastry ( very different from Latin American alfajores )
Catànies,Catalonia,confectionery,Catalan marcona almonds covered with white chocolate and powdered black chocolate to be eaten with the coffee
Churros,,snack,"fried-dough pastry-based snacks , sometimes made from potato dough"
"Flan Crème caramel , or caramel custard",Puerto Rico,pudding,"a rich custard dessert with a layer of soft caramel on top , as opposed to crème brûlée , which is custard with a hard caramel top"
"Crème brûlée burnt cream , crema catalana , or Trinity cream",Catalonia,dessert,"a dessert consisting of a rich custard base topped with a layer of hard caramel , created by caramelizing sugar under a broiler , with a blowtorch or other intense heat source , or by pouring cooked caramel on top of the custard . It is usually served cold in individual ramekins"
Frangollo,Canary Islands,dessert,"a dessert made from milk , millet or maize flour , lemon , eggs , sugar , butter , raisins , almonds , and cinnamon . Many variations exist : the milk may be replaced by water , aniseed may be added"
Marie biscuit,,biscuit,"a type of sweet biscuit similar to a Rich Tea biscuit . It is made with wheat flour , sugar , vegetable oil and vanilla flavoring"
Marzipan,Toledo and Soto de Cameros ( La Rioja ),confection,a confection consisting primarily of sugar and almond meal
Panellets,Catalonia,small cakes or cookies,"traditional dessert of the All Saints holiday in the Catalan Countries , together with chestnuts , sweet potatoes or sweet wine . Panellets ( Catalan for little breads ) are small cakes or cookies in different shapes , mostly round , made mainly of marzipan"
Quince Paste membrillo,,jelly,"a sweet , thick , quince jelly or quince candy"
Tarta de Santiago,"Galicia , Mondoñedo",pie,"almond pie fillied with ground almonds , eggs and sugar . The top of the pie is usually decorated with powdered sugar , masked by an imprint of the Saint James cross"
Teja,,confectionery,a popular dumpling-shaped confection that contains manjar blanco filling ( similar to dulce de leche ) and either dry fruits or nuts
Tortas de Aceite,,biscuit,"a light , crispy and flaky Sevillian biscuit"
Tortell,Catalonia,pastry,"a Catalan typically O-shaped pastry stuffed with marzipan , that on some special occasions is topped with glazed fruit"
"Turrón torró , or torrone",Valencian Community,confection,"a nougat confection , typically made of honey , sugar , and egg white , with toasted almonds or other nuts , and usually shaped into either a rectangular tablet or a round cake"
