Date,Placing,Event,Competition,Location,Country
1982,1,General classification,Tour de Pologne,,Poland
1982,1,Stage 3,Tour de Pologne,Giżycko,Poland
1984,1,Stage 6,Tour of Austria,Söll,Austria
1984,1,Stage 8,Tour of Austria,Linz,Austria
1984,1,General classification,Tour de Pologne,,Poland
1984,1,Stage 5,Tour de Pologne,Solina,Poland
1985,1,,National road championship,,Poland
1985,1,Stage 2,Peace Race,,Soviet Union
1987,1,Stage 4,Postgirot Open,Huskvarna,Sweden
1987,1,Prologue,Tour de Pologne,Warsaw,Poland
1988,1,,National road championship,,Poland
1988,1,Stage 3,Tour of Austria,Sankt Georgen im Attergau,Austria
1988,1,General classification,Tour de Pologne,,Poland
1996,1,General classification,Tour of Małopolska,,Poland
