Name,Owner,Headquarters
AIDA Cruises,Carnival Corporation & plc,Germany
American Cruise Lines,,USA
Aurora Expeditions,,Australia
Azamara Club Cruises,Royal Caribbean Cruises Ltd,USA
Bahamas Paradise Cruise Line,,USA
Birka Line,,Finland
Bohai Cruises,China ( state owned ),China
Carnival Cruise Line,Carnival Corporation & plc,USA / United Kingdom
Celebrity Cruises,Royal Caribbean Cruises Ltd,USA
Celestyal Cruises,,Cyprus
Compagnie du Ponant,,France
Costa Cruises,Carnival Corporation & plc,Italy
Cruise & Maritime Voyages,South Quay Travel & Leisure Ltd,United Kingdom
Crystal Cruises,Genting Hong Kong,USA
Cunard Line,Carnival Corporation & plc,United Kingdom
Disney Cruise Line,Disney,USA
Dream Cruises,Genting Hong Kong,Hong Kong
Fred . Olsen Cruise Lines,,United Kingdom
FTI Cruises,,Germany
Hansa Touristk,,Germany
