Site,Municipality,Ref
Ao Castle Site 阿尾城跡 Ao-jō ato,Himi,[ 1 ]
Sakai Ichirizuka 境一里塚 Sakai ichirizuka,Asahi,[ 2 ]
Miyazaki Castle Site 宮崎城 跡 Miyazaki-jō ato,Himi,[ 3 ]
Chigozuka 稚児塚 Chigozuka,Tateyama,[ 4 ]
Jōgahira Cave Tombs 城ガ平横穴古墳 Jōgahira ōketsu kofun-gun,Takaoka,[ 5 ]
Ōzuka Kofun 大塚古墳 Ōzuka kofun,Imizu,[ 6 ]
Sakuratōge Site 桜峠遺跡 Sakuratōge iseki,Uozu,[ 7 ]
Matuskura Castle Site 松倉城跡 Matuskura-jō ato,Uozu,[ 8 ]
Kitano Stone Buddha Niche 北野の石龕 Kitano no sekigan,Kurobe,[ 9 ]
Gorintō 嘉暦四歳銘五輪石塔 Karyaku yonsai mei gorin sekitō,Kurobe,[ 10 ]
Kareisawa Stone Buddhas 嘉例沢の石仏 Kareisawa sekibutsu,Kurobe,[ 11 ]
Etchū Kokubun-ji Site 越中国分寺 跡 Etchū Kokubunji ato,Takaoka,[ 12 ]
Chokushizuka 勅使塚 Chokushizuka,Toyama,[ 13 ]
Sakai Barrier Site 境関跡 Sakai seki ato,Asahi,[ 14 ]
Inotani Barrier Site 猪谷関跡 Inotani seki ato,Toyama,[ 15 ]
Kifune Castle Site 木舟城 跡 Kifune-jō ato,Takaoka,[ 16 ]
Ikuji Battery 生地台場 Ikuji daiba,Kurobe,[ 17 ]
Miyanaga Jūzaemon Grave 宮永十佐エ門の墓 Miyanaga Jūzaemon no haka,Oyabe,[ 18 ]
Zuiryū-ji Stone Tombs 瑞龍寺 の石廟 Zuiryūji no sekibyō,Takaoka,[ 19 ]
Aimotoshin Site 愛本新遺跡 Aimotoshin iseki,Kurobe,[ 20 ]
