Country,City,Airport,Notes
Angola,Luanda,Quatro de Fevereiro Airport,( ends 9 February 2020 )
Angola,Ondjiva,Ondjiva Pereira Airport,Terminated
Botswana,Gaborone,Sir Seretse Khama International Airport,-
Botswana,Maun,Maun Airport,Terminated
Germany,Frankfurt,Frankfurt am Main Airport,-
Germany,Munich,Munich Airport,Terminated
Ghana,Accra,Kotoka International Airport,Terminated
Namibia,Grootfontein,Grootfontein Airport,Terminated
Namibia,Halali,Halali Airport,Terminated
Namibia,Katima Mulilo,Mpacha Airport,-
Namibia,Keetmanshoop,Keetmanshoop Airport,Terminated
Namibia,Lüderitz,Lüderitz Airport,-
Namibia,Mokuti Lodge,Mokuti Lodge Airport,Terminated
Namibia,Okaukuejo,Okaukuejo Airport,Terminated
Namibia,Ondangwa,Ondangwa Airport,-
Namibia,Oranjemund,Oranjemund Airport,-
Namibia,Oshakati,Oshakati Airport,Terminated
Namibia,Rundu,Rundu Airport,-
Namibia,Swakopmund,Swakopmund Airport,Terminated
Namibia,Tsumeb,Tsumeb Airport,Terminated
