Season,Pitcher,Decision,Final Score,Opponent,Location
1901,Bill Carrick,( W ),5-1,Philadelphia Athletics,Columbia Park
1902,Al Orth,( W ),7-3,Boston Red Sox,American League Park
1903,Al Orth ( 2 ),( W ),3-1,New York Yankees,American League Park II
1904,Highball Wilson,( L ),3-8,Philadelphia Athletics,American League Park II
1905,Case Patten,( L ),2-4,New York Yankees,American League Park II
1906,Tom Hughes,( L ),3-4,Philadelphia Athletics,American League Park II
1907,Tom Hughes ( 2 ),( L ),2-3,New York Yankees,American League Park II
1908,Charlie Smith,( L ),1-3,Boston Red Sox,Huntington Avenue Baseball Grounds
1909,Charlie Smith ( 2 ),( W ),4-1,New York Yankees,American League Park II
1910,Walter Johnson,( W ),3-0,Philadelphia Athletics,American League Park II
1911,Dolly Gray,( W ),8-5,Boston Red Sox,Griffith Stadium
1912,Walter Johnson ( 2 ),( L ),2-4,Philadelphia Athletics,Shibe Park
1913,Walter Johnson ( 3 ),( W ),2-1,New York Yankees,Griffith Stadium
1914,Walter Johnson ( 4 ),( W ),3-0,Boston Red Sox,Fenway Park
1915,Walter Johnson ( 5 ),( W ),7-0,New York Yankees,Griffith Stadium
1916,Walter Johnson ( 6 ),( W ),3-2,New York Yankees,Polo Grounds
1917,Walter Johnson ( 7 ),( W ),3-0,Philadelphia Athletics,Shibe Park
1918,Walter Johnson ( 8 ),( L ),3-6,New York Yankees,Griffith Stadium
1919,Walter Johnson ( 9 ),( W ),1-0,Philadelphia Athletics,Griffith Stadium
1920,Walter Johnson ( 10 ),( L ),6-7,Boston Red Sox,Fenway Park
