English short name,English long name,Domestic short names,Capital,Currency,Area
Antigua and Barbuda,Antigua and Barbuda,English : Antigua and Barbuda,St. John 's,East Caribbean dollar,Caribbean
"Bahamas , The",Commonwealth of The Bahamas,English : Bahamas,Nassau,Bahamian dollar,North Atlantic islands
Barbados,Barbados,English : Barbados,Bridgetown,Barbadian dollar,Caribbean
Belize,Belize,English : Belize,Belmopan,Belize dollar,Central America
Canada,Canada,English : Canada French : Canada,Ottawa,Canadian dollar,Northern America
Costa Rica,Republic of Costa Rica,Spanish : Costa Rica,San José,Costa Rican colón,Central America
Cuba,Republic of Cuba,Spanish : Cuba,Havana,"Cuban peso , Cuban convertible peso",Caribbean
Dominica,Commonwealth of Dominica,English : Dominica,Roseau,East Caribbean dollar,Caribbean
Dominican Republic,Dominican Republic,English : Dominican Republic Spanish : República Dominicana,Santo Domingo,Dominican Peso,Caribbean
El Salvador,Republic of El Salvador,English : El Salvador Spanish : El Salvador,San Salvador,United States dollar,Central America
Grenada,Grenada,English : Grenada,St. George 's,East Caribbean dollar,Caribbean
Guatemala,Republic of Guatemala,Spanish : Guatemala,Guatemala City,Guatemalan quetzal,Central America
Haiti,Republic of Haiti,French : Haïti,Port-au-Prince,Haitian gourde,Caribbean
Honduras,Republic of Honduras,Spanish : Honduras,Tegucigalpa,Honduran lempira,Central America
Jamaica,Jamaica,English : Jamaica,Kingston,Jamaican dollar,Caribbean
Mexico,United Mexican States,Spanish : México,Mexico City,Mexican Peso,Northern America
Nicaragua,Republic of Nicaragua,Spanish : Nicaragua,Managua,Nicaraguan córdoba,Central America
Panama,Republic of Panama,English : Panama Spanish : Panamá,Panama City,"Panamanian balboa , United States dollar",Central America
Saint Kitts and Nevis,Federation of Saint Kitts and Nevis or Federation of Saint Christopher and Nevis,English : Saint Kitts and Nevis,Basseterre,East Caribbean dollar,Caribbean
Saint Lucia,Saint Lucia,English : Saint Lucia,Castries,East Caribbean dollar,Caribbean
