Sh2 No,A common name,Names and designations
6,NGC 6302,"Sh2-6 , NGC 6302 , Bug Nebula , PK 349+01 1 , Butterfly Nebula , RCW 124 , Gum 60 , Caldwell 69"
8,NGC 6334,"ESO 392-EN 009 , Sharpless 8 , RCW 127 , Gum 64 , NGC 6334"
11,NGC 6357,"Sh2-11 , NGC 6357 , RCW 131 , Gum 66 , War and Peace Nebula"
25,Lagoon Nebula,"Sh2 25 , RCW 146 , Gum 72 , Messier 8"
29,Sharpless 29,Sh2 29
30,Trifid Nebula,"Sh2 30 , M20 , NGC 6514 , RCW 147 , Gum 76"
45,Omega Nebula,"Omega Nebula , M17 , NGC 6618 , Swan Nebula , Sharpless 45 , RCW 160 , Gum 81"
49,Eagle Nebula,"Sh2 49 , Messier 16 , NGC 6611 , RCW 165 , Gum 83"
64,W 40,"Sh2 64 , RCW 174"
101,Tulip Nebula,Sharpless 101
105,Crescent Nebula,"Sh2 105 , NGC 6888 , Sharpless 105 , Caldwell 27"
106,Sh2-106,"Sh2-106 , Celestial Snow Angel"
117,North America Nebula,"NGC 7000 , Caldwell 20"
125,Cocoon Nebula,"IC 5146 , Caldwell 19"
140,Sh2-140,Sh2-140
155,Cave Nebula,"Sh2-155 , Caldwell 9"
162,NGC 7635,"Sh2-162 , NGC 7635 , Bubble nebula"
184,NGC 281,"NGC 281 , IC 11"
191,Maffei 1,"Sh2-191 , Maffei 1 , PGC 9892"
197,Maffei 2,"Sh2-197 , Maffei 2 , UGCA 39 , PGC 10217 ,"
