Year,Title,Role
1997,House of America,Boyo
1999,Titus,Demetrius
1999,Whatever Happened to Harold Smith ?,Ray Smith
2000,Sorted,Carl
2001,Very Annie Mary,Nob
2002,The Abduction Club,James Strang
2002,Deathwatch,Doc Fairweather
2002,Shooters,Eddie
2003,Y Mabinogi,Lleu Llaw Gyffes
2004,Fakers,Nick Edwards
2006,Love and Other Disasters,Peter Simon
2007,Virgin Territory,Count Dzerzhinsky
2008,The Edge of Love,Dylan Thomas
2009,The Think Tank,Marc
2010,Patagonia,Mateo
2011,Everything Carries Me To You,Damien
2012,The Scapegoat,John Standing / Johnny Spence
2015,Burnt,Reece
2015,"En mai , fais ce qu'il te plait",Percy
2017,The Post,Daniel Ellsberg
