Community,Legislature name Local names,Seat,Members,President,Last election Fixed
Andalusia,Andalusian Parliament Sp . Parlamento de Andalucía,Seville,109,Marta Bosquet C 's,2 December 2018 By President
Aragon,Aragonese Corts Ara . Cortz d'Aragón Sp . Cortes de Aragón,Zaragoza,67,Javier Sada PSOE,26 May 2019 By President
Asturias,General Junta of the Principality of Asturias Ast . Xunta Xeneral del Principáu d'Asturies Sp . Junta General del Principado de Asturias,Oviedo,45,Marcelino Marcos PSOE,26 May 2019 By law
Balearic Islands,Parliament of the Balearic Islands Cat . Parlament de les Illes Balears Sp . Parlamento de las Islas Baleares,Palma,59,Vicenç Thomàs PSIB,26 May 2019 By President
Basque Country,Basque Parliament Ba . Eusko Legebiltzarra Sp . Parlamento Vasco,Vitoria-Gasteiz,75,Bakartxo Tejeria PNV,25 September 2016 By President
Canary Islands,Canarian Parliament Sp . Parlamento de Canarias,Santa Cruz de Tenerife,70,Gustavo Adolfo Matos PSOE,26 May 2019 By President
Cantabria,Parliament of Cantabria Sp . Parlamento de Cantabria,Santander,35,Joaquín Gómez PSC-PSOE,26 May 2019 By law
Castile-La Mancha,Cortes of Castile-La Mancha Sp . Cortes de Castilla-La Mancha,Toledo,33,Pablo Bellido PSOE,26 May 2019 By law
Castile and Leon,Cortes of Castile and León Sp . Cortes de Castilla y León,Valladolid,81,Luis Fuentes C 's,26 May 2019 By President
Catalonia,Parliament of Catalonia Cat . Parlament de Catalunya Oc . Parlament de Catalonha Sp . Parlamento de Cataluña,Barcelona,135,Roger Torrent ERC,21 December 2017 By Spanish Prime Minister
Extremadura,Extremaduran Assembly Sp . Asamblea de Extremadura,Mérida,65,Blanca Martín PSOE,26 May 2019 By President
Galicia,Parliament of Galicia Gal . Parlamento de Galicia Sp . Parlamento de Galicia,Santiago de Compostela,75,Miguel Ángel Santalices PPdeG,25 September 2016 By President
La Rioja,Parliament of La Rioja Sp . Parlamento de La Rioja,Logroño,33,Jesús María García PSOE,26 May 2019 By law
Madrid,Madrid Assembly Sp . Asamblea de Madrid,Madrid,132,Juan Trinidad C 's,26 May 2019 By law
Region of Murcia,Regional Assembly of Murcia Sp . Asamblea Regional de Murcia,Cartagena,45,Alberto Castillo C 's,26 May 2019 By law
Navarre,Parliament of Navarre Ba . Nafarroaku Parlamentua Sp . Parlamento de Navarra,Pamplona-Iruña,50,Unai Hualde GBai,26 May 2019 By President
Valencian Community,Valencian Corts Val . Corts Valencianes Sp . Cortes Valencianas,Valencia,99,Enric Morera Compromís,28 April 2019 By President
