Region,Host,Venue,City,State
East,Old Dominion University,Old Dominion University Fieldhouse,Norfolk,Virginia
East,Cheyney State College,Cope Hall,Cheyney,Pennsylvania
East,Kansas State University,Ahearn Field House,Manhattan,Kansas
East,North Carolina State University,Reynolds Coliseum,Raleigh,North Carolina
Mideast,University of Southern California,Los Angeles Memorial Sports Arena,Los Angeles,California
Mideast,Pennsylvania State University,Recreation Building ( Rec Hall ),University Park,Pennsylvania
Mideast,Memphis State University,MSU Fieldhouse ( Elma Roane Fieldhouse ),Memphis,Tennessee
Mideast,University of Tennessee,Stokely Athletic Center,Knoxville,Tennessee
Midwest,Louisiana Tech University,Memorial Gym,Ruston,Louisiana
Midwest,Arizona State University,University Activity Center ( Wells Fargo Arena ),Tempe,Arizona
Midwest,University of South Carolina,Carolina Coliseum,Columbia,South Carolina
Midwest,University of Kentucky,Memorial Coliseum,Lexington,Kentucky
West,"California State University , Long Beach",University Gym ( Gold Mine ),Long Beach,California
West,Drake University,Drake Fieldhouse,Des Moines,Iowa
West,University of Oregon,McArthur Court,Eugene,Oregon
West,"University of Maryland , College Park",Cole Field House,College Park,Maryland
