Season,Player,School,Position,Class
1976-77,Gary Yoder,Cincinnati,SG,Senior
1977-78,Harry Davis,Florida State,SF,Senior
1977-78,Rick Wilson,Louisville,SG / PG,Senior
1978-79,Pat Cummings,Cincinnati,C,Senior
1979-80,Darrell Griffith *,Louisville,SG,Senior
1980-81,David Burns,Saint Louis,PG,Senior
1980-81,Derek Smith,Louisville,SG,Junior
1981-82,Keith Lee,Memphis State,PF / C,Freshman
1982-83,Rodney McCray,Louisville,SF,Senior
1983-84,John Williams,Tulane,PF / C,Junior
1984-85,Keith Lee ( 2 ),Memphis State,PF / C,Senior
1985-86,Dell Curry,Virginia Tech,SF,Senior
1986-87,Herbert Crook,Louisville,SF / SG,Junior
1987-88,Bimbo Coles,Virginia Tech,PG,Sophomore
1987-88,Pervis Ellison,Louisville,C,Junior
1988-89,George McCloud,Florida State,SG / SF,Senior
1989-90,Clarence Weatherspoon,Southern Mississippi,PF,Sophomore
1990-91,Clarence Weatherspoon ( 2 ),Southern Mississippi,PF,Junior
1991-92,Clarence Weatherspoon ( 3 ),Southern Mississippi,PF,Senior
1992-93,Clifford Rozier,Louisville,C,Junior
