Team,City,Arena,Capacity
AIK,Stockholm,Hovet,"8,094"
Almtuna IS,Uppsala,Gränby Ishall,"2,800"
IF Björklöven,Umeå,A3 Arena,"5,400"
BIK Karlskoga,Karlskoga,Nobelhallen,"6,300"
Karlskrona HK,Karlskrona,NKT Arena Karlskrona,"5,050"
Kristianstads IK,Kristianstad,Kristianstads ishall,"2,300"
Modo Hockey,Örnsköldsvik,Fjällräven Center,"7,600"
Mora IK,Mora,Jalas Arena,"4,500"
Södertälje SK,Södertälje,Axa Sports Center,"6,200"
Timrå IK,Timrå,NHK Arena,"6,000"
Tingsryds AIF,Tingsryd,Nelson Garden Arena,"3,400"
HC Vita Hästen,Norrköping,Himmelstalundshallen,"4,280"
Västerviks IK,Västervik,Plivit Trade-hallen,"2,500"
Västerås IK,Västerås,ABB Arena Nord,"4,902"
