Name,Country,Event,Date of violation,Banned substance ( s ) / Anti-doping rule violation,Sanction
Cédric Nabe,Switzerland,Sprinting,2011,Whereabouts failure ×3,18 months Extended by CAS from 1 year
Rachid Nadij,Morocco,Long distance,2007,Ephedrine,3 months
Kaltouma Nadjina,Chad,Sprinting,2009,,Reprimand and disqualification of result
Tezzhan Naimova,Bulgaria,Sprinting,2008 2013,Tampering with test Drostanolone,2 years Life ban
Cosmas Ndeti,Kenya,Long distance,1988,Ephedrine,3 months
Lisa Nemec,Croatia,Long distance,2015,EPO,4 years
John Ngugi,Kenya,Long distance,1993,Missed test,
Antoni Niemczak,Poland,Marathon,1986,Nandrolone,2 years
Larisa Nikitina ( Larisa Turchinskaya ),Soviet Union,Heptathlon,1990,Amphetamines,
Ilja Nikolajev,Estonia,Marathon,2013,Biological passport,2 years
Lars Arvid Nilsen,Norway,Shot put,1987 1992,"Probenecid , Anabolic steroids Metenolone",2 years Life ban
Cyrus Njui,Kenya,Long distance,2015,Methylephedrine,8 months
Siyabonga Nkonde,South Africa,Cross country running,2014,,6 months
Nadia Noujani,Morocco,Long distance,2014,EPO,2 years
Jonathan Nsenga,Belgium,Hurdling,1997,Ephedrine,
Juan Núñez,Dominican Republic,Sprinting,1983,Fencamfamine,
Liliya Nurutdinova,Russia,Middle distance,1993,Stanozolol,4 years
