Year,Winner ( s ),Nationality,Nominees
2000,Ibrahim Ferrer,Cuba,Café Quijano Amaury Gutiérrez Fernando Osorio Ivete Sangalo
2001,Juanes,Colombia,Bacilos Bebel Gilberto Sindicato Argentino del Hip Hop Manuel Vargas
2002,Jorge Moreno,Cuba United States,Cabas Circo Gian Marco Sin Bandera
2003,David Bisbal,Spain,Tiziano Ferro Natalia Lafourcade Fernanda Porto Álex Ubago
2004,Maria Rita,Brazil,Akwid Obie Bermúdez Mauricio & Palodeagua Superlitio
2005,Bebe,Spain,Ilona JD Natasha Diana Navarro Reik
2006,Calle 13,Puerto Rico,Céu Inés Gaviria Lena Pamela Rodriguez
2007,Jesse & Joy,Mexico,Alejandra Alberti Dafnis Prieto Tulsa Ricky Vallen
2008,Kany García,Puerto Rico,Mónica Giraldo Diogo Nogueira Roberta Sá Ximena Sariñana
2009,Alexander Acha,Mexico,Chocquibtown Claudio Corsi India Martínez Luz Rios
2010,Alex Cuba,Cuba Canada,Estrella Maria Gadú Jotdog Koko Stambuk
2011,Sie7e,Puerto Rico,Pablo Alborán Max Capote Paula Fernandes Il Volo
2012,3Ball MTY,Mexico,Gaby Amarantos Ana Victoria Deborah De Corral Elain Ulises Hadjis Juan Magan Los Mesoneros Rosario Ortega Piso 21
2013,Gaby Moreno,Guatemala,A Band of Bitches Leslie Cartaya EliaCim Clarice Falcão Jesús Hidalgo Maluma Mojito Lite Quattro Miltón Salcedo
2014,Mariana Vega,Venezuela,Aneeka Linda Briceño Caloncho Julio César Pablo López Miranda Periko & Jessi León Daniela Spalla Juan Pablo Vega
2015,Monsieur Periné,Colombia,Kaay Iván Melón Lewis Manu Manzo Matisse Julieta Rada Tulipa Ruiz Raquel Sofía Vazquez Sounds Vitrola Sintética
2016,Manuel Medrano,Colombia,Sophia Abrahão Álex Anwandter The Chamanas Esteman Joss Favela ILE Mon Laferte Morat Ian Ramil
2017,Vicente García,Dominican Republic,Paula Arenas CNCO Martina La Peligrosa Mau y Ricky Rawayana Sofía Reyes Rosalía Danay Suárez Sebastián Yatra
2018,Karol G,Colombia,Ángela Aguilar Anaadi El David Aguilar Alex Ferreira Los Petitfellas Nana Mendoza Christian Nodal Claudia Prieto Benjamín Walker
2019,Nella,Venezuela,Aitana Burning Caravan Cami Fer Casillas Chipi Chacón Elsa y Elmar Greeicy Juan Ingaramo Paulo Londra
