Name,Height ( cm ),Weight ( kg ),Birthdate,Birthplace,1955-1956 team
Willard Ikola,173,71,"July 28 , 1932","Eveleth , Minnesota",University of Michigan
Don Rigazio,180,73,"July 3 , 1934","Cambridge , Massachusetts",Cambridge University
John Mayasich,183,82,"May 22 , 1933","Eveleth , Minnesota",University of Minnesota
Dan McKinnon,185,96,"April 21 , 1922","Williams , Minnesota",University of North Dakota
Dick Meredith,170,71,"December 22 , 1932","South Bend , Indiana",University of Minnesota
Weldy Olson,178,73,"November 12 , 1932","Marquette , Michigan",Michigan State University
John Matchefts,170,68,"June 18 , 1931","Eveleth , Minnesota",University of Michigan
Wendell Anderson,183,77,"February 1 , 1933","Saint Paul , Minnesota",University of Minnesota
"Wellington Burtnett , Jr",183,85,"August 26 , 1930","Somerville , Massachusetts",Boston College
Gene Campbell,,,"August 17 , 1932","Minneapolis , Minnesota",University of Minnesota
Gordy Christian,175,75,"November 21 , 1927","Warroad , Minnesota",University of North Dakota
"Bill Cleary , Jr",179,80,"August 19 , 1934","Cambridge , Massachusetts",Harvard University
Dick Dougherty,175,85,"August 5 , 1932","International Falls , Minnesota",University of Minnesota
John Petroske,183,84,"August 6 , 1934","Hibbing , Minnesota",University of Minnesota
Ken Purpur,170,64,"March 1 , 1932","Grand Forks , North Dakota",University of North Dakota
Dick Rodenheiser,173,71,"October 17 , 1932","Malden , Massachusetts",Boston University
Ed Sampson,180,77,"December 23 , 1921","International Falls , Minnesota",Fort Frances Hockey Club
