Year,Title,Role
2002,Die Another Day,Miranda Frost
2004,Promised Land,Rose
2004,The Libertine,Elizabeth Malet
2005,Pride & Prejudice,Jane Bennet
2005,Doom,Dr. Samantha Grimm
2007,Fracture,Nikki Gardner
2007,Fugitive Pieces,Alex
2009,An Education,Helen
2009,Surrogates,Maggie Greer
2009,Yesterday We Were in America,Narrator
2010,Burning Palms,Dedra Davenport
2010,Jackboots on Whitehall,Daisy ( voice )
2010,Barney 's Version,Miriam Grant-Panofsky
2010,Made in Dagenham,Lisa Hopkins
2011,The Organ Grinder 's Monkey,Rochelle
2011,Johnny English Reborn,Kate Sumner
2011,The Big Year,Jessica
2012,Wrath of the Titans,Queen Andromeda
2012,Jack Reacher,Helen Rodin
2013,The Devil You Know,Zoe Hughes
