Year,Film,Song,Co-singers,Music director
1976,Kabhie Kabhie,Surkh Jode Ki Yeh Jagmagahat,Lata Mangeshkar,Khayyam
1977,Doosra Aadmi,Angna Ayenge Sanvariya,Deven Verma and chorus,Rajesh Roshan
1978,Trishul,Ja Ri Bahena Ja,"K. J. Yesudas , Kishore Kumar",Khayyam
1979,Noorie,• Ashiq Ho To Aisa Ho • Uske Khel Nirale,"• Mahendra Kapoor , Jagjit Kaur • Jagjit Kaur , Anwar",Khayyam
1979,Kaala Patthar,Jaggaya Jaggaya,"Mahendra Kapoor , S.K . Mohan",Rajesh Roshan
1981,Silsila,Khudse Waada Kiya,Solo,Shiv-Hari
1982,Bazaar,Chale Aao Saiyaan,,
1982,Sawaal,Idhar Aa Sitamgar,Jagjit Kaur,Khayyam
1985,Faasle,Mora Banna Dulhan Leke Aaya,,
1989,Chandni,Main Sasural Nahi Jaaungi,Chorus,Shiv-Hari
1991,Lamhe,Freak Out ( Parody Song ),Sudesh Bhonsle,Shiv-Hari
1993,Darr,Meri Maa Ne Laga Diye,"Lata Mangeshkar , Kavita Krishnamurthy",Shiv-Hari
1993,Aaina,Banno Ki Aayegi Baraat,Solo,Dilip Sen-Sameer Sen
1995,Dilwale Dulhania Le Jayenge,Ghar Aaja Pardesi,Manpreet Kaur,Jatin Lalit
2002,Mujhse Dosti Karoge !,The Medley,"Lata Mangeshkar , Udit Narayan , Sonu Nigam",Recreated by Rahul Sharma
