Member,Electoral district,Party
Harlan Carey Brewster,Alberni,Liberal
Frank Harry Mobley,Atlin,Liberal
John MacKay Yorston,Cariboo,Liberal
Edward Dodsley Barrow,Chilliwack,Liberal
John Andrew Buckham,Columbia,Liberal
Hugh Stewart,Comox,Liberal
William Henry Hayward,Cowichan,Independent
James Horace King,Cranbrook,Liberal
Francis James Anderson MacKenzie,Delta,Conservative
John Oliver,Dewdney,Liberal
Robert Henry Pooley,Esquimalt,Conservative
Alexander Ingram Fisher,Fernie,Liberal
William Roderick Ross,Fort George,Conservative
James Edwin Wallace Thompson,Grand Forks,Liberal
John Duncan MacLean,Greenwood,Liberal
Malcolm Bruce Jackson,The Islands,Liberal
Frederick William Anderson,Kamloops,Liberal
John Keen,Kaslo,Liberal
Archibald McDonald,Lillooet,Conservative
William Sloan,Nanaimo,Liberal
