#,Event year,Season,Flag bearer,Sport
17,2018,Winter,Élise Pellegrin,Alpine skiing
16,2016,Summer,Andrew Chetcuti,Swimming
15,2014,Winter,Élise Pellegrin,Alpine skiing
14,2012,Summer,William Chetcuti,Shooting
13,2008,Summer,Marcon Bezzina,Judo
12,2004,Summer,William Chetcuti,Shooting
11,2000,Summer,Laurie Pace,Judo
10,1996,Summer,Angela Galea,Swimming
9,1992,Summer,Laurie Pace,Judo
8,1988,Summer,Joanna Agius,Archery
7,1984,Summer,Peter Bonello,Sailing
6,1980,Summer,Frans Chetcuti,Shooting
5,1972,Summer,Joseph Grech,Shooting
4,1968,Summer,Louis Grasso,
3,1960,Summer,Christopher Dowling,Swimming
2,1948,Summer,Francis X. Zammit Cutajar,
1,1936,Summer,Godfrey Craig,
