Country,Political party,Party Leader,National Lower Houses,Government
Australia,Liberal Party ( LP ),Scott Morrison,61 / 151,Senior party in coalition
Canada,Conservative Party Parti conservateur du Canada ( CPC ),Andrew Scheer,121 / 338,Opposition
Colombia,Democratic Centre Centro Democrático ( CD ),Álvaro Uribe,32 / 172,Government
Israel,Likud הליכוד,Benjamin Netanyahu,32 / 120,Government
Kenya,Jubilee Party,Uhuru Kenyatta,171 / 349,Government
Maldives,Progressive Party of Maldives ޕްރޮގްރެސިވް ޕާރޓީ އޮފް މޯލްޑިވްސް ( PPM ),Abdulla Yameen,5 / 87,Opposition
New Zealand,National Party Rōpū Nāhinara ( National ),Simon Bridges,55 / 120,Opposition
Tanzania,Chadema - Party for Democracy and Progress Chama cha Demokrasia na Maendeleo ( CHADEMA ),Freeman Mbowe,63 / 293,Opposition
Tunisia,Afek Tounes آفاق تونس,Yassine Brahim,2 / 217,Opposition
United States,Republican Party ( GOP ),Donald Trump,197 / 435,"Majority in Senate , holds Presidency , minority in House of Representatives"
